id,name,type,owner,first_use,uses,deliverable,gate,status,unit
AI-BLOCKED-PATH,Blocked Path,AI,Gameplay engineer,C04-S03,C04-S03,"State machine, perception/path rules, animation hooks, debug view and fixture tests.",M06/M12,Not started,Work package / family
AI-COVER-VOLUME,Cover Volume,AI,Gameplay engineer,C02-S04,C02-S04,"State machine, perception/path rules, animation hooks, debug view and fixture tests.",M06/M12,Not started,Work package / family
AI-CUSTODIAN,Custodian,AI,Gameplay engineer,C01-S06,C01-S06,"State machine, perception/path rules, animation hooks, debug view and fixture tests.",M06/M12,Not started,Work package / family
AI-EVAC-SAFETY,Evac Safety,AI,Gameplay engineer,C07-S02,C07-S02,"State machine, perception/path rules, animation hooks, debug view and fixture tests.",M06/M12,Not started,Work package / family
NAR-ORREN-FREED,Orren Freed,Narrative state,Narrative designer + engineer,C03-S04,C03-S04,"Persistent fact, source trigger, redundant readable evidence and checkpoint restoration.",M12/M14,Not started,Work package / family
NAR-ROOT-RELEASED,Root Released,Narrative state,Narrative designer + engineer,C08-S03,C08-S03,"Persistent fact, source trigger, redundant readable evidence and checkpoint restoration.",M12/M14,Not started,Work package / family
SYS-AGGREGATE-HOLD,Aggregate Hold,System,Gameplay/lead engineer,C07-S01,C07-S01,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-ASSEMBLY-SUPPORT,Assembly Support,System,Gameplay/lead engineer,C06-S04,C06-S04,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-CONDUIT-GRAPH,Conduit Graph,System,Gameplay/lead engineer,C03-S02,C03-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-DEAD-NETWORK,Dead Network,System,Gameplay/lead engineer,C08-S04,C08-S04,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-EVAC-GROUP-A,Evac Group A,System,Gameplay/lead engineer,C07-S03,C07-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-EVAC-GROUP-B,Evac Group B,System,Gameplay/lead engineer,C07-S04,C07-S04,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-GRAVITY-PROCESS,Gravity Process,System,Gameplay/lead engineer,C03-S03,C03-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-HANDOFF,Handoff,System,Gameplay/lead engineer,C01-S02,C01-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-HARNESS-HOLD,Harness Hold,System,Gameplay/lead engineer,C04-S02,C04-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-HOLD,Hold,System,Gameplay/lead engineer,C01-S03,C01-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-HOLD-OWNER,Hold Owner,System,Gameplay/lead engineer,C02-S03,C02-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-NETWORK-CONTROL,Network Control,System,Gameplay/lead engineer,C06-S02,C06-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-NODE-SELECT,Node Select,System,Gameplay/lead engineer,C07-S02,C07-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-ROOT-RELEASE,Root Release,System,Gameplay/lead engineer,C08-S03,C08-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-SUPPORT,Support,System,Gameplay/lead engineer,C02-S05,C02-S05,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-SUPPORT-CONDITION,Support Condition,System,Gameplay/lead engineer,C05-S03,C05-S03,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-TRANSFER,Transfer,System,Gameplay/lead engineer,C02-S02,C02-S02,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-WITHDRAWAL-HANDOFF,Withdrawal Handoff,System,Gameplay/lead engineer,C07-S05,C07-S05,"Runtime contract, data/config, debug view, save behavior and automated fixture.",M02/M12,Not started,Work package / family
SYS-CONTROLLER,Plane-constrained player controller,System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M01,Not started,Work package / family
SYS-INPUT,"Remapping, toggle actions and interruption guard",System,Lead/gameplay engineer,Shared,Campaign-wide,Master section10 contract and section13 tests; editor/runtime integration required.,M01,Not started,Work package / family
