id,chapter,title,minutes,puzzles,blockout,actors,initial_state,storyboard,solution,threat_and_recovery,narrative,audio,checkpoint,save_contract,exit,acceptance,start_min,end_min
SQ-01-01,C01,A small thing that will not stay still,4,"[""PZ-01""]","Kitchen 10 × 3.6 × 5 m, playable lane z=0. Chair at x=2.8, door x=4.0, fitting x=6.0 at hand height 1.05. A cup sits in the near background, not on the collision route.","[""CHR-IVO"", ""CHR-ANJA"", ""ENV-TERRACE"", ""PRP-CHAIR"", ""PRP-CUP"", ""GME-WALL-FITTING""]",No brace. Door obstructed by a light chair constrained to a 1.2 m drag rail. Anja waits at the fitting. Spoon vibration is cosmetic and runs on an independent ambient phase.,"A / Opening side-on frame; Ivo on left third, Anja center-right, moving washing outside a dark window. Directional control is live at approximately second 3. B / Camera follows only after he moves; chair and blocked door share the frame. C / A small push-in at the fitting reveals the two-tap contact while keeping Ivo controllable after the hand animation.","Move to the chair; hold Interact and drag left until the door clearance strip is exposed. Release grip, pass the door and approach the low cover Anja is holding. Interact steadies the cover for a brief contextual hand contact; Anja replaces its latch. The response commits when the hands meet, not after a long uninterruptible flourish. Two taps occur on contact; waiting elsewhere does not advance the evacuation. Afterward the alarm can begin when Ivo turns toward the hall. No pixel-sized pick-up item or cabinet search.","Nonlethal. The chair cannot tip into a softlock or be pushed through the exit. Anja has wait, look and repair loops rather than repeating a greeting. Repeated interaction plays a small acknowledgement, not another full scene.","Makes repair and temporary voluntary help familiar. The spoon, cuff and two taps are recurring identifiers, not clues that require a journal.","Close cloth, cup tick and restrained domestic rain. No score swell. Anja has nonverbal exertion only. The alarm initially belongs to another part of the building.",CK-01-01,"Entry canonical checkpoint; on cover completion save DoorClear, CoverLatched and TwoTapsSeen together. Respawn is beside the cleared doorway, never with the chair intersecting Ivo.",Anja opens the stair door once Ivo approaches. Atmosphere blends to stair acoustics; no fade or chapter title.,Fresh tester finds the door obstruction without a prompt in 60 seconds; alternate keyboard/controller inputs do not double-fire the cover event. Idling five minutes leaves a coherent scene.,0,4
SQ-01-02,C01,The landing that cannot be released,5,[],"Stair shaft 18 × 9 × 6 m. Safe near platform x=0–5, hinged landing x=5–10, far ledge x=10–14. Transport doorway in background z=3, reached by a visible rail path.","[""CHR-IVO"", ""CHR-ANJA"", ""CHR-CUST-A"", ""RIG-TRANSPORT"", ""GME-LANDING"", ""GME-BRACE"", ""ENV-TERRACE""]",Landing appears intact until both characters reach the marked load strip. Anja owns the emergency connection after its initial 0.35 m drop. Transfer rig is present above but not yet in view.,"A / Ivo and Anja descend together; a slight vertical reframe exposes space below the landing before it moves. B / Anja catches Ivo’s wrist and the plate in one continuous action; no cut to a separate movie angle. C / After Ivo crosses, the camera stays on his side while Custodians take Anja into depth. Her cuff and two taps on the railing remain visible.","Follow Anja, recover from the authored slip and cross the arrested landing using ordinary movement. The landing is broad; this is not a precision jump during a relationship beat. At the far side a half-open service barrier keeps Ivo from following the transport directly, but its accessible lower route remains visible. Custodians connect the rig before removing Anja from the plate, preserving ownership. A service brace falls to a reachable floor stop. Interact picks it up; the wrist-fit animation is brief and leads into a safe test reach.","The first landing slip cannot randomly kill Ivo. After the separation, the barrier is a physical obstruction rather than an invisible wall. Mother waits if Ivo has not crossed; transport cannot depart with him stranded on the unsafe side.",Ivo believes he is following a rescue procedure. A Custodian deliberately secures the harness rather than repairing the damage. We do not explain the root yet.,"Metal strain starts before displacement. Anja’s breath continues during Hold. Wheel clicks move away in depth; no villain sting. Brace pickup has a modest ceramic click, not a power-up sound.",CK-01-02,Commit AnjaTaken and BraceOwned only after the rig is clear and the brace attached. A quit during transfer resumes the coherent pre-transfer or post-transfer checkpoint; never half a transaction.,Ivo enters a lower service opening beneath the transport route. The next shutter can be seen cycling from safety.,Player can neither retrieve Anja through geometry nor lose the brace. Interrupt every transfer frame with pause/restart in testing; ownership and narrative phase remain valid.,4,9
SQ-01-03,C01,The shutter and the rotating tread,5,"[""PZ-02"", ""PZ-03""]","Service corridor 30 × 6 × 5 m. Shutter at x=8, contact x=6.8 y=1.1. Beyond it, a 2.0 m radius maintenance tread rotates beside a 1.8 m gap at x=20. Targets never overlap acquisition cones.","[""CHR-IVO"", ""GME-BRACE"", ""GME-SHUTTER"", ""GME-ROTATOR"", ""ENV-SERVICE"", ""FX-DUST""]","Shutter cycles on an 8 s period, including 2.5 s fully open. Tread rotates slowly through four readable step orientations. Both have local motors and exposed contacts; neither is anchored externally.","A / Fixed reasoning frame includes the shutter, contact and safe recess. B / On arrest, dust falls through the unmoving shutter silhouette. C / Past the shutter, the camera reveals the full tread and destination before allowing the gap to become a hazard.","Observe at least part of the shutter cycle from the recess. Acquire while it is above Ivo’s clearance, cross within the sustain radius and release. On the tread, arrest when its flat platform faces upward and aligns with the far ledge. Jump onto it and across a routine gap. The second use changes the problem from timing an opening to selecting an orientation. A small wrist after-motion follows release without changing locomotion. If the player arrests too low or at a poor angle, they can release and retry safely.",Crush zones are attached to moving edges and only active while the sweep threatens Ivo. Tread falls reset locally. No first-use lethal event before the player can see a full cycle. Target selection does not switch midway through Hold.,The tool genuinely works. The body’s residual posture hints that the connection is not merely a battery. Unrelated dust establishes the no-time-freeze rule.,Motor sound loses its motion component while held; a residual load tone remains. Foot contacts match metal and stone. The wrist after-motion has a tiny jacket and brace creak.,CK-01-03,Checkpoint after the shutter and before the tread preserves BraceOwned and the solved shutter clearance. Tread phase resets to the same readable start; shutter is not re-solved after a later fall.,A high opening silhouettes a Custodian approaching the service stair. The corridor continues directly into the pursuit.,Ten attempts at 30/60/120 fps preserve clearance. Wrong-angle arrests are recoverable. A tester can explain that only the selected mechanism stops.,9,14
SQ-01-04,C01,A door between two bodies,4,"[""PZ-04""]","Pursuit corridor 42 × 7 × 6 m. Guard entry stair visible at x=8, Ivo starts x=13. Exit shutter x=30 with contact x=28; release recess x=33; exterior threshold x=39.","[""CHR-IVO"", ""CHR-CUST-A"", ""GME-SHUTTER"", ""ENV-SERVICE"", ""ENV-GARDENS""]",Custodian begins on an upper stair and needs 3.5 s of visible approach before entering the player lane. Door follows the same motion family learned immediately before.,"A / Wide enough to show the descending guard and the route ahead. B / Camera leads right before Ivo reaches the door, keeping the contact out of silhouette tangency. C / The guard catches the released door briefly behind Ivo; wind opens the image beyond the exit.","Run to the contact, arrest the door above head height, pass through and release from the far recess. Release lets the door close between Ivo and the worker. The worker’s catch is an authored reaction that delays closure visually but does not reverse the successful solution. Move through the outer service opening. The player does not need to wait for the guard to nearly touch them. A too-early Hold can be released while behind a short safe obstruction, providing a second chance.","Capture requires a real approach and swept contact, not a camera trigger. Guard speed is tuned below Ivo’s full run with a head start; no hidden teleport or late rubber-band. A failure resets to the pursuit start, not the preceding tread.","Ivo learns that the Custodian is a physical person with strength and limitations. The route is escape from a procedure, not combat victory.",Footsteps descend from above into the same acoustic space. Door strain masks the guard only after he is blocked. Exterior wind replaces corridor resonance over the threshold.,CK-01-04,Entry pursuit snapshot has guard at top of stair and door at known phase. DoorBlocked is saved only after Ivo is in the exterior-safe zone. Repeated restart does not duplicate a second guard.,Camera widens onto allotments and the hostel’s two uneven chimneys. No title card; player still holds directional control.,First-time players see both route and pursuer before danger. Median replay cost after a capture remains under 35 s. Fast players cannot outrun asset streaming.,14,18
SQ-02-01,C02,Wind has no owner,5,"[""PZ-05""]","Exposed allotment strip 65 × 9 × 14 m. Three raised beds, one 1.8 m drainage gap and a hinged windscreen at x=31. Background hostel at z=65; bird on a disconnected channel shelf.","[""CHR-IVO"", ""ENV-GARDENS"", ""GME-WINDSCREEN"", ""FAUNA-WADER"", ""FX-WIND"", ""PRP-REED-SCREEN""]","Wind screens not attached to apparatus move freely. One civic hinged panel is connected to a restraint socket and swings through a safe traverse pose. Bird has idle, forage and flee states.","A / Horizontal long view with open sky; Ivo small but not lost in reeds. B / The panel’s sweep and opposite bank share a stable frame. C / A bird reacts only when the panel actually moves, while fog reveals the hostel chimneys behind it.","Follow the raised path, crouch beneath a low screen and reach the connected panel. Arrest it near horizontal, step onto its broad face and cross the gap. Release after reaching stone. A noncritical loose screen keeps swaying while the held one stays still. The path then loops around a low bed to give a view back at the panel and bird. This is a short traversal idea, not another multi-stage shutter puzzle; the time includes breathing room and exploration of a visible side alcove.",The first poor arrest drops the panel toward a shallow recoverable ledge rather than an instant death. Critical ground edges are not hidden by foreground reeds. Bird behavior does not introduce a stealth penalty.,"Natural life exists outside the system. The machine does not suspend all reality. The recurring hostel is introduced as an ordinary place, not highlighted as a future creature.","Wind in three texture layers, reed knocks, distant metal settling and one bird call. No music cue on the landmark. Cold air changes Ivo’s breath effort modestly.",CK-02-01,Save at stable stone before and after the panel. Bird state may be reconstructed from an ambient seed; panel phase and personal ownership must be exact.,Water running through a raised bed leads the player toward the sluice without an objective arrow.,A grayscale review keeps the panel distinct from decorative screens. Muting audio does not obscure the moving hazard. Hold never affects the bird or wind cloth.,18,23
SQ-02-02,C02,Give the water somewhere to go,6,"[""PZ-06""]","Garden channel 34 × 6 × 12 m. Upper sluice x=7, diversion handle x=12 on high ledge, guided float x=18–24, destination lip x=27. Side channel clearly descends away from the float basin.","[""CHR-IVO"", ""ENV-GARDENS"", ""GME-SLUICE"", ""GME-FLOAT"", ""GME-DIVERSION"", ""FX-WATER-FLOW""]","Holding the main sluice closed raises upstream water and drives the float against an overhead stop, too high to use. Side drain starts closed. The float is rail-guided and cannot drift into a softlock.",A / Show incoming water and the float before the player acts. B / A higher side handle and its channel remain visible during the failed simple solution. C / Successful diversion reveals a lower pale water mark as the float settles to the crossing height.,"Arrest the main sluice briefly to observe that preserving stillness makes the float less useful. Release, climb the safe side ledge and open the diversion. Water now leaves the basin through the side channel; the float lowers to its guided lower stop. Arrest the sluice in its open-clear state only if needed to pass the narrow service throat, then cross on the stable float. The side handle latches mechanically, so no second personal Hold is required. The system is a small volume-transfer graph with bounded level change, not unrestricted fluid simulation.","A wrong order raises water toward a visibly marked overflow, then stabilizes; it does not unexpectedly flood the entire chapter. Ivo can return to the ledge. Falls land in a shallow recovery pool.",The first explicit lesson that resolving a process differs from stopping it. Old high flood marks remain above current water; no exposition explains them.,"Inlet, overflow and diverted trickle have distinct locations. Water-level changes are slow enough to read. The moving float creaks against its guide before reaching a stop.",CK-02-02,Persist DiversionOpen and basin target state at the exit checkpoint. Mid-puzzle death restores a coherent level/float combination. Do not save a float transform independently of its water driver.,A supply sack travels overhead toward a loading grate and draws the eye to the next apparatus.,The player can infer the bad consequence of the initial Hold from the same shot. Solving by releasing early remains legal. Water volumes and float never overlap Ivo into a wall.,23,29
SQ-02-03,C02,The apparatus that catches falling things,6,"[""PZ-07""]","Loading terrace 40 × 10 × 12 m. Porter rail overhead y=6, connected floor grate x=13–23, disconnected stone refuges x=9 and 27. Capture reach 3.2 m beneath current carriage; exit underpass x=32.","[""CHR-IVO"", ""CHR-PORTER"", ""RIG-PORTER"", ""GME-PORTER-DRIVE"", ""PRP-SACK"", ""ENV-GARDENS"", ""FX-CABLE""]",A sack is ready to fall into a safe demonstration zone. Porter carriage begins parked above it. Detection grates have a visible cable path to the rail. Stone refuges are disconnected.,"A / Frame the falling sack and the rig’s catch while Ivo is safe. B / Let the padded cradle open slowly, revealing the worker as the apparatus returns. C / On Ivo’s first grate step, the carriage turns; the next refuge is already on screen.","Watch or move through the nonblocking sack demonstration. Step onto the connected grate; its flex produces a load signal and the Porter searches the reachable zone. Retreat to stone if necessary. Reach the exposed drive contact, arrest the active carriage long enough to cross the first span, then release from a refuge. Cross the final span during its return stroke and crouch into the underpass. Hold targets the carriage drive, not the worker’s thoughts. The player can read reach through the physical rig and its guide shadow.",Detection precedes capture by a visible orient-and-reach sequence of at least 1.2 s. The first grate is recoverable by stepping back. No offscreen instant capture. Restart preserves the observed sack demonstration fact and restores the rig parked.,A rescue process becomes dangerous when it treats Ivo as an unsupported load. Its padded equipment is more unsettling than a predatory animal replacement.,"Rail wheel, tension ratchet, worker breath and cradle fabric. A bell-like confirmation belongs to the retrieval procedure, not a jump-scare sting. Load transmission has a matching grate flex.",CK-02-03,"Checkpoint before the grate; SackDemoSeen persists. Porter drive phase, route position and capture state reset together. The sack is excluded from repeat collision once the demo completes.","Ivo drops into a drainage corridor too low for the rig. Its rail visibly continues toward the industrial district, explaining later reappearance.",A novice can state why stone is safer than grating. Holding indefinitely does not let the target switch. The rig cannot reach through the stone refuge or leave its rail.,29,35
SQ-02-04,C02,The people above the drain,5,[],Culvert 70 × 4 × 9 m with two low crouch sections and one shallow vertical climb. Ceiling grilles reveal occupied public ground at z=3; laundry intake visible ahead.,"[""CHR-IVO"", ""ENV-CULVERT"", ""CHR-RESIDENTS"", ""PRP-GROCERY"", ""FX-DRIPS"", ""ENV-LAUNDRY""]","No active enemy in the player lane. Residents have bounded ambient routes. One support pulse is triggered by Ivo crossing a clear view volume, then becomes an ambient low-frequency behavior.",A / Low camera follows Ivo beneath feet and grocery bags. B / A brief stationary frame aligns a flexing support with residents steadying themselves above; their attention never turns down. C / Gradual upward camera move follows a service ladder toward hanging fabric and warmer vapor.,"Crouch under a root cable, pull a light grate cover aside and climb the short ladder. This section provides recovery and observation, not a disguised five-minute corridor: include a small optional dry shelf that exposes the same support from its reverse side and rejoins in seconds. Required traversal is compact; timing assumes cautious looking and the first impression of occupied life. All critical hands are free; no retained personal Hold is necessary.",No surprise attack after the chase. A dripped-on pipe may sound human but has a visible source when approached. Avoid making every silence a setup for a jump scare.,Residents have adapted to the town’s instability. Their normality makes the hidden cost plausible. A supply route links gardens and laundry into one place.,"Muffled ordinary feet overhead, bags brushing railings, drain water and growing ventilation tone. The Porter’s ratchet disappears before the first quiet pause.",CK-02-04,Store chapter progress at the dry ladder base and laundry threshold. Ambient residents reconstruct from safe poses. Their schedules cannot block the route or advance unseen narrative facts.,Ivo emerges behind linen baskets. A laundry worker demonstrates a surface fitting in the distance as the player approaches the first transfer puzzle.,No tester should spend more than 90 s looking for the ladder after reaching its room. Optional observation does not hide mandatory story comprehension. No chapter-loading hitch at the vent transition.,35,40
SQ-03-01,C03,Leave the effort behind,6,"[""PZ-08""]","Laundry bridge room 32 × 12 × 18 m. Near platform x=0–9, tilting bridge x=9–17, far platform x=17–27. Anchor x=7.2; release lever on far platform. Conduit runs visibly from anchor to bridge.","[""CHR-IVO"", ""ENV-LAUNDRY"", ""GME-BRIDGE"", ""GME-ANCHOR"", ""GME-LEVER"", ""PRP-LAUNDRY-CART"", ""CHR-BEARER-01""]",Bridge hangs too steeply to traverse. Holding it level prevents Ivo from operating the two-handed far lever after crossing. Nearby anchor is available; its hidden bearer is not visible.,"A / Entire bridge and far destination shown through sheets; an adult worker in depth uses a portable-equivalent contact, disproving chosen-child implications. B / Close enough for the anchor vane, with no full cinematic cut. C / Hold remains on the bridge after Ivo walks away; the camera does not immediately reveal its source.","Operate the one-hand bridge release, let it settle toward level and arrest it. At the near anchor, Interact transfers ownership. The brace hand relaxes while the anchor vane closes. Cross the supported bridge with both hands now free, turn the far two-hand lever to seat a receiving pin, then disengage the anchor through a visible return linkage. The bridge remains level on metal. Crossing without transfer is possible, but the far lever rejects a one-hand attempt with an informative animation. The player can return without losing the bridge.",Wrong-angle anchoring is reversible from either side using the return linkage. The bridge cannot permanently seal the player below it. Initial bridge movement has no enemy pressure.,Transfer feels like relief before the concealed bearer’s breath unsettles it. The first major slice puzzle contains both assignment and removal of burden.,Local brace effort migrates to a wall breath when ownership transfers. A solid pin seating sound differs from an active strain hum. No magic beam.,CK-03-01,"Capture bridge q, owner and pin state together. Exit checkpoint requires pin seated and no personal Hold. Hidden bearer strain matches ownership after reload.","The bridge opens onto the overlapping hanging frames, carrying the player directly into spatial manipulation and stealth.","At least four of five fresh testers distinguish personal Hold, anchor and mechanical support after play. Zero ownership gaps across 1,000 automated transfer attempts.",40,46
SQ-03-02,C03,The hanging corridor,6,"[""PZ-09""]","Drying hall 44 × 14 × 20 m. Two parallel gameplay-safe paths at y=0 and y=2.4, linked by one ladder. Three sliding frames on independent 6 m rails; wet-sheet and thick-blanket cover zones explicitly placed.","[""CHR-IVO"", ""ENV-LAUNDRY"", ""GME-DRYING-FRAME"", ""GME-ANCHOR"", ""CHR-CUST-A"", ""PRP-SHEET"", ""PRP-BLANKET""]",Frame A blocks the low route; frame B provides the climb but slides back unless anchored. Frame C controls a sightline. Custodian enters only after Ivo has seen his own silhouette through a wet sheet.,"A / Stable wide shot shows the low obstruction and upper return route. B / Ivo’s silhouette appears through a lit wet sheet with no enemy present. C / A searchlight later passes the same screen; the thick blanket stays opaque, showing the difference visually.","Push frame A to its stop, freeing the lower passage. Arrest and anchor frame B at ladder alignment, climb, and release frame C’s latch to hang a thick blanket across the search angle. Cross the upper ledge while the light moves behind the opaque layer. Descend to the far side and latch frame B mechanically through a low pull cord, removing its anchor burden. The spatial route and concealment arrangement form one puzzle; do not require rhythmic button tapping or an invisible stealth meter.","The Custodian detects exposure through tagged thin material but not thick cover, matching the rendered silhouettes. A wrong arrangement provides retreat before capture. Restart at the search approach preserves the solved frame positioning, not an entire re-push sequence.",Ordinary domestic material becomes spatial language. The hidden burden remains present through wall strain; the player can relieve it rather than leave it active forever.,"Wet cloth slaps softly; thick blankets absorb high frequencies. Search footsteps remain directional. Audio hints support, but do not substitute for, visible light and cover.",CK-03-02,"Save frame positions, latch states, cover tags, guard entry phase and B owner. Never rely on cloth simulation to recreate occlusion after reload.","A rinse outlet ahead pours onto a small counterweight basket, previewing the next material-state puzzle.",Occlusion tags agree with the image at all supported effects settings. Player never loses the critical landing behind a foreground sheet. Three consecutive failed attempts do not replay a solved manipulation.,46,52
