A1: THE HELD | MILESTONES
A2: Week numbers are planning estimates for an eight-core-role team plus specialist support. A gate requires evidence, not elapsed time.
A4: ID | B4: Milestone | C4: Start week | D4: End week | E4: Span weeks | F4: Depends on | G4: Owner | H4: Playable result | I4: Exit gate | J4: Status
A5: M00 | B5: Project setup and reference calibration | C5: 1 | D5: 2 | E5: =D5-C5+1 [cached=2] | F5: None | G5: Producer + lead engineer | H5: A packaged test gym launches and accepts keyboard/controller input; this is not yet a game slice. | I5: A second developer produces the same build from a clean checkout; director/engineer approve the feel-measurement plan and stack; unresolved commercial dependencies have an owner. | J5: Not started
A6: M01 | B6: Movement and interaction prototype | C6: 3 | D6: 4 | E6: =D6-C6+1 [cached=2] | F6: M00 | G6: Gameplay engineer + animator | H6: A 3–5-minute obstacle course containing every ordinary traversal action. | I6: All defined traversal tests pass on keyboard/controller at 30/60/120 fps; ordinary jumps have visible margin; no critical controller defects. | J6: Not started
A7: M02 | B7: Central Hold mechanic prototype | C7: 5 | D7: 6 | E7: =D7-C7+1 [cached=2] | F7: M01 | G7: Lead engineer + game director | H7: A 5–8-minute laboratory of useful Holds, one transfer, one relief and stationary node selection. | I7: No ownership violations or lost process states; fresh testers can explain personal versus anchor/station retention; finale interface has a viable prototype. | J7: Not started
A8: M03 | B8: First complete puzzle prototype | C8: 7 | D8: 8 | E8: =D8-C8+1 [cached=2] | F8: M02 | G8: Director + gameplay engineer | H8: Two complete puzzles with entry, failure, recovery and durable exit state. | I8: At least 4/5 players understand why the supported stair no longer needs a bearer; all reachable prototype states recover without debug commands. | J8: Not started
A9: M04 | B9: Core gameplay loop prototype | C9: 9 | D9: 10 | E9: =D9-C9+1 [cached=2] | F9: M03 | G9: Game director + producer | H9: A repeatable 10–12-minute game loop, not separate mechanic rooms. | I9: Director signs the core loop as worth extending; no unresolved rule contradiction; production does not proceed based on an attractive still image alone. | J9: Not started
A10: M05 | B10: Horror and tension prototype | C10: 11 | D10: 12 | E10: =D10-C10+1 [cached=2] | F10: M04 | G10: Director + audio lead + art lead | H10: An 8–10-minute sequence that changes from useful control to unease without relying on a loud sting. | I10: The human-cost inference is understood by most formative testers; atmosphere survives without surprise volume spikes; art/audio leads approve a reproducible target. | J10: Not started
A11: M06 | B11: Enemy and creature prototype | C11: 11 | D11: 14 | E11: =D11-C11+1 [cached=4] | F11: M04; overlaps M05 | G11: Gameplay engineer + animator + QA | H11: P13 trolley escape and P14 Porter crossing in graybox; a simple two-group evacuation test. | I11: Known taught solutions succeed repeatedly; no unexplained immunity; player can identify every capture cause; two-group evacuation runs 20 times without deadlock. | J11: Not started
A12: M07 | B12: First playable environment | C12: 13 | D12: 16 | E12: =D12-C12+1 [cached=4] | F12: M04; integrates M05/M06 as ready | G12: Environment lead + technical artist | H12: A 7–10-minute environment segment with a real puzzle and consequence. | I12: Art lead approves the in-motion benchmark; engineer confirms a scalable rendering path; source kit and import conventions are ready for reuse. | J12: Not started
A13: M08 | B13: First 15-minute playable build | C13: 17 | D13: 18 | E13: =D13-C13+1 [cached=2] | F13: M04; M06; M07 conventions | G13: Director + narrative + QA | H13: The first roughly 15 minutes of the actual campaign, ending at a safe subfloor checkpoint rather than a forced timer. | I13: At least 4/5 testers understand the immediate objective and basic rule; no onboarding blocker; recorded action time is inside the planned opening range. | J13: Not started
A14: M09 | B14: First complete chapter | C14: 19 | D14: 20 | E14: =D14-C14+1 [cached=2] | F14: M08; M06 | G14: Director + lead engineer + QA | H14: The full nominal 20-minute Chapter 1 from new game to laundry entry. | I14: Chapter 1 is feature-complete and navigable without debug tools; no critical progression or save bugs; remaining polish has bounded tasks. | J14: Not started
A15: M10 | B15: First 30-minute playable build | C15: 21 | D15: 22 | E15: =D15-C15+1 [cached=2] | F15: M09; M07 | G15: Director + producer + QA | H15: The first approximately 30–32 minutes through C02-S03. The label is a milestone, not a hard 30-minute stop in the middle of a puzzle. | I15: Uninterrupted build with no seam blocker; first cost hint lands without overexplaining; controller and save behavior remain consistent across chapters. | J15: Not started
A16: M11 | B16: Final-quality vertical slice | C16: 23 | D16: 28 | E16: =D16-C16+1 [cached=6] | F16: M05; M06; M07; M10 | G16: All discipline leads | H16: A nominal 25-minute contiguous Chapter 2 at final intended quality. External tests can use a clearly separate 2-minute control familiarization area that is not counted as campaign content. | I16: Director/art/audio/engineering/producer jointly approve. No critical defects; all essential actions/readability pass; documented frame-time and memory targets met or credibly rebaselined; per-room production effort measured. Otherwise iterate or reduce scope before bulk production. | J16: Not started
A17: M12 | B17: Full end-to-end playable build | C17: 29 | D17: 48 | E17: =D17-C17+1 [cached=20] | F17: M11 | G17: Director + lead engineer + production | H17: New game to credits without a developer console. Much art may remain below slice quality, but no chapter is a storyboard-only promise. | I17: Every sequence has a playable solution and recovery; no debug skip needed; all essential narrative dependencies land; remaining changes are bounded before content detail multiplies. | J17: Not started
