id,publisher,title,url,accessed,scope
R01,Marek Bogdan / Playdead,The Lighting of INSIDE,https://blog.playdead.com/articles/the_lighting_of_inside/lighting_of_inside.html,2026-09-08,"Article and lighting stills inspected; art-directed reference principle, not copied implementation."
R02,Marek Bogdan / Playdead,The Bits and Pieces,https://blog.playdead.com/articles/the_bits_and_pieces/bits_and_pieces.html,2026-09-08,Developer model-design account; subtraction and composition.
R03,Playdead,Ebeltoft animation presentation,https://docs.google.com/presentation/d/1QN99FZUQl3KE4c7eg9-GLLEl3Og0FqreJbiTrCc8ZAk/htmlpresent,2026-09-08,"Published Danish slides inspected; animation/input/contact principles, not measured gameplay."
R04,Playdead / GDC,Huddle up! Making the [SPOILER] of INSIDE,https://gdcvault.com/play/1024472/Huddle-up-Making-the-SPOILER,2026-09-08,Session description inspected; no claim of full video playback.
R05,Jakob Schmid,The Boy from INSIDE — AES 2016,https://www.schmid.dk/talks/2016-02-11-aes/schmid-AES_2016-The_Boy_from_INSIDE.pdf,2026-09-08,PDF text and selected diagrams/screenshots inspected; contextual character audio.
R06,Martin Stig Andersen / GDC,A Game That Listens — The Audio of INSIDE,https://www.gdcvault.com/play/1023731/A-Game-That-Listens-The,2026-09-08,Session description inspected; game/audio feedback and respawn continuity.
R07,Playdead,"Tools, Tricks and Technologies for Reaching Stutter-Free 60 FPS in INSIDE",https://docs.google.com/presentation/d/1dew0TynVmtQf8OMLEz_YtRxK32a_0SAZU9-vgyMRPlA/htmlpresent,2026-09-08,"Published performance slides; use high-level profiling/streaming lessons, not obsolete blanket micro-optimization rules."
R08,Marek Bogdan / Playdead,The Weight of Detail,https://blog.playdead.com/articles/the_weight_of_detail/weight_of_detail.html,2026-09-08,"Article inspected; motion fetch unavailable, no claim to have watched GIFs."
R09,Unity,Unity 6 releases and support,https://unity.com/releases/unity-6/support,2026-09-08,6.3 LTS support through December 2027 checked; production upgrade review required.
R10,Unity,"URP introduction, Unity 6.3",https://docs.unity3d.com/6000.3/Documentation/Manual/urp/urp-introduction.html,2026-09-08,Official rendering documentation; package family recommendation requires compatibility spike.
R11,Unity,Input System manual,https://docs.unity3d.com/Packages/com.unity.inputsystem@1.17/manual/index.html,2026-09-08,Official action/input reference; exact project version locked in M00.
R12,Unity,Cinemachine manual,https://docs.unity3d.com/Packages/com.unity.cinemachine@3.1/manual/index.html,2026-09-08,Official camera package reference; directed content still authored by team.
R13,Unity,Timeline manual,https://docs.unity3d.com/Packages/com.unity.timeline@1.8/manual/index.html,2026-09-08,Official timeline reference; not authority for durable narrative state.
R14,Unity,Addressables: loading scenes,https://docs.unity3d.com/Packages/com.unity.addressables@2.7/manual/LoadingScenes.html,2026-09-08,Scene activation queue behavior and handle lifecycle; confirm against locked package.
R15,Unity,Character Controller component reference,https://docs.unity3d.com/6000.3/Documentation/Manual/class-CharacterController.html,2026-09-08,Controller candidate only; custom moving-platform/contact requirements still need tests.
R16,Unity,Physics.Simulate,https://docs.unity3d.com/6000.3/Documentation/ScriptReference/Physics.Simulate.html,2026-09-08,Fixed-step guidance; no cross-hardware bitwise-determinism claim.
R17,Unity,AudioSource.PlayScheduled,https://docs.unity3d.com/6000.3/Documentation/ScriptReference/AudioSource.PlayScheduled.html,2026-09-08,DSP scheduling reference; gameplay state remains authoritative.
R18,Unity,Unity Test Framework manual,https://docs.unity3d.com/Packages/com.unity.test-framework@1.4/manual/index.html,2026-09-08,Official EditMode/PlayMode/player testing reference; exact version tested in M00.
R19,Playdead,INSIDE official page,https://playdead.com/games/inside/,2026-09-08,Official stills inspected; official trailer endpoint unavailable in this session.
