id,publisher,title,url,use,accessed
R01,Playdead,INSIDE official gallery,https://playdead.com/games/inside/,Official screenshots and presentation identity; no hands-on timing claim,2026-09-07
R02,Marek Bogdan / Playdead,The Lighting of INSIDE,https://blog.playdead.com/articles/the_lighting_of_inside/lighting_of_inside.html,Firsthand authored-lighting explanation and embedded images inspected,2026-09-07
R03,Playdead / GDC,Huddle up! Making the [SPOILER] of INSIDE,https://gdcvault.com/play/1024126/Huddle-up-Making-the-SPOILER,"Published session abstract: coupled physics, animation and shading; full session not viewed",2026-09-07
R04,Martin Stig Andersen / GDC,A Game That Listens — The Audio of INSIDE,https://www.gdcvault.com/play/1023731/A-Game-That-Listens-The,Published session abstract: audio/game feedback and death/respawn continuity,2026-09-07
R05,Jeppe Carlsen / Playdead,LIMBO publications and puzzle design presentations,https://blog.playdead.com/articles/limbo_presentations/limbo_publications.html,"Published design abstract concerning challenge, accessibility and frustration",2026-09-07
R06,Playdead,INSIDE Presentations,https://blog.playdead.com/articles/inside_presentations/inside_publications.html,"Catalogue descriptions including stutter-free asset loading, audio and rendering; no unavailable slide measurements",2026-09-07
R07,Marek Bogdan / Playdead,The Weight of Detail,https://blog.playdead.com/articles/the_weight_of_detail/weight_of_detail.html,Firsthand examples of subtle environmental detail and animated lighting,2026-09-07
R08,Unity,Unity 6 releases and support,https://unity.com/releases/unity-6/support,Current support window: Unity6.3LTS through December2027; baseline must be reviewed before a later ship date,2026-09-07
R09,Unity,Apply interpolation to a Rigidbody,https://docs.unity3d.com/6000.3/Documentation/Manual/rigidbody-interpolation.html,Physics/render timing reference; our 60Hz authoritative puzzle design is a proposal,2026-09-07
R10,Unity,Addressables — Loading scenes,https://docs.unity3d.com/Packages/com.unity.addressables@3.0/manual/LoadingScenes.html,Scene activation/queue constraint; package selection still requires compatibility test,2026-09-07
R11,Unity,Cinemachine — Procedural motion,https://docs.unity3d.com/Packages/com.unity.cinemachine@3.1/manual/concept-procedural-motion.html,Camera package behavior and authored procedural camera foundation,2026-09-07
R12,FMOD,FMOD for Unity — User guide,https://www.fmod.com/docs/2.03/unity/user-guide.html,Integration reference only; license/fees not assumed,2026-09-07
R13,Unity,URP anti-aliasing,https://docs.unity3d.com/6000.3/Documentation/Manual/urp/anti-aliasing.html,Stock render-pipeline anti-aliasing options; final choice must be measured,2026-09-07
R14,Thomas Grip / Frictional Games,"9 Years, 9 Lessons on Horror",https://frictionalgames.com/2019-10-9-years-9-lessons-on-horror/,"Firsthand discussion of anticipation, narrative and psychological horror",2026-09-07
R15,Harvey Smith and Matthias Worch / GDC,What Happened Here? Environmental Storytelling,https://www.gdcvault.com/play/1012647/What-Happened-Here-Environmental,Published environmental storytelling session; supports readable player interpretation,2026-09-07
