id,title,reasoning,prerequisites,sequences,success_predicate,reset_policy,status
PZ-01,Kitchen chair and cover,Teach physical interaction,[],"[""SQ-01-01""]",Cover accessible and interaction completed with free hands,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-02,First shutter,Teach arrest timing,"[""PZ-01""]","[""SQ-01-03""]",Ivo crosses readable clearance without changing selected target,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-03,Rotating tread,Choose useful orientation,"[""PZ-02""]","[""SQ-01-03""]",Stable arrested surface permits the demonstrated gap,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-04,Pursuit door,Release as separation,"[""PZ-03""]","[""SQ-01-04""]",Ivo reaches safe recess and door separates the visible guard,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-05,Wind panel,Select connected motion,"[""PZ-03""]","[""SQ-02-01""]",Traverse panel while unconnected wind remains active,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-06,Garden diversion,Resolve flow instead of stop,"[""PZ-05""]","[""SQ-02-02""]",Latched side channel lowers float onto traversable stop,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-07,First Porter,Read bounded capture space,"[""PZ-04""]","[""SQ-02-03""]",Cross connected grate through known drive arrest and stone refuges,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-08,Laundry bridge transfer,External ownership,"[""PZ-06""]","[""SQ-03-01""]",Anchor sustains bridge and support permits leaving without losing load,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-09,Hanging corridor,Spatial access and concealment,"[""PZ-08""]","[""SQ-03-02""]",Rack arrangement opens exit and thick cover blocks demonstrated sight,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-10,Wet blanket counterweight,Change material state,"[""PZ-06"", ""PZ-08""]","[""SQ-03-03""]",Saturated rack positions lift; drain and latch make next passage safe,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-11,Queue deck jack,Relieve involuntary compensation,"[""PZ-08""]","[""SQ-04-02""]",Mechanical jack supports deck and queue-body constraint relaxes,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-12,Conscious guard/cart/shutter,Allocate one Hold and plan release,"[""PZ-04"", ""PZ-11""]","[""SQ-04-03""]",Prepositioned cart blocks guard after release; shutter can be Held to exit,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-13,Orren's stair pawl,Remove a human dependency,"[""PZ-11""]","[""SQ-04-04""]",Ratchet bears staircase and OrrenReleased commits,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-14,Exposed counterweight sweep,Read mass trajectory,"[""PZ-03""]","[""SQ-05-01""]",Traverse known safe pockets and bounded sweep clearance,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-15,Balance carrier,Teach reciprocal posture,"[""PZ-08"", ""PZ-14""]","[""SQ-05-02""]",Carrier reaches parked contact and station exit becomes safe,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-16,Useful falling mass,Reconfigure energy path,"[""PZ-15""]","[""SQ-05-03""]",Receiving cradle catches released block and raises walkway,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-17,Porter diversion and moving exit,Commit to release under pursuit,"[""PZ-07"", ""PZ-16""]","[""SQ-05-04""]",Salvage redirects capture and resumed drive aligns exit platform,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-18,First swim,Learn breath and recovery,"[""PZ-06""]","[""SQ-06-01""]",Ivo reaches dry landing with visible recovery opportunity,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-19,Moving air shelter,Position safety instead of immunity,"[""PZ-08"", ""PZ-18""]","[""SQ-06-02""]",Guided bell and pocket reach upper safe access with hose valid,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-20,Obsolete rescue dock,Exploit consistent rescue rule,"[""PZ-07"", ""PZ-19""]","[""SQ-06-03""]",Bell avoids tip capture and Ivo secures upper guide from far side,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-21,Chamber drain,Reveal through state change,"[""PZ-06"", ""PZ-19""]","[""SQ-06-04""]",Water lowered safely and maintenance record/route exposed,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-22,Reciprocal domestic room,Reinterpret familiar control,"[""PZ-15""]","[""SQ-07-02""]",Room inclines clear of obstruction and parks on support,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-23,Support instead of root transfer,Apply relief to Anja's load,"[""PZ-13"", ""PZ-22""]","[""SQ-07-04""]",Receiving frame holds room; local root strain reduced and cohort route opens,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-24,Discharge proof,Predict large flow safely,"[""PZ-06"", ""PZ-16"", ""PZ-21""]","[""SQ-08-02""]","Deflector latched, blockage clear, limited test reaches safe outlet",Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-25,Ward receiving pads,Prepare future support graph,"[""PZ-23"", ""PZ-24""]","[""SQ-08-03""]",Pads/culvert deployed and obsolete pins released without losing occupied refuge,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-26,Open cradle and balance,Unify previously learned controls,"[""PZ-15"", ""PZ-22"", ""PZ-25""]","[""SQ-08-04"", ""SQ-09-01""]",Station occupied; valid balance handover; current safe support maintained,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-27,Narrow support,Carry occupants through load transition,"[""PZ-26""]","[""SQ-09-03""]",Ward center/support envelope permits next route edge without pitching rooms,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-28,Crouch under girder,Change architecture's posture,"[""PZ-27""]","[""SQ-09-04""]",Lowered clearance envelope passes girder and restores receiving-pad alignment,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-29,Kneel and support,End dependence before evacuation,"[""PZ-28""]","[""SQ-09-05""]",Porch aligns; twelve survivors exit; locks carry building and cradle releases Ivo,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-30,Final handover,Take only unloaded governor,"[""PZ-24"", ""PZ-29""]","[""SQ-09-06""]",Mother-to-Ivo ownership transfer after verified safe prerequisites,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
PZ-31,Deliberate root release,Finish the prepared emergency,"[""PZ-30""]","[""SQ-09-07""]",Voluntary armed release commits root fact and safe discharge; postrelease retry is coherent,Restore coherent entry or last supported reasoning milestone from sequence card; preserve earlier durable relief facts.,Backlog
