A1: THE HELD | SYSTEMS
A2: One row is a work package / family, not one finished file. First-use room cards define context; status is editable.
A4: ID | B4: Package | C4: Type | D4: Owner role | E4: First use | F4: Deliverable | G4: Gate | H4: Status
A5: AI-BLOCKED-PATH | B5: Blocked Path | C5: AI | D5: Gameplay engineer | E5: C04-S03 | F5: State machine, perception/path rules, animation hooks, debug view and fixture tests. | G5: M06/M12 | H5: Not started
A6: AI-COVER-VOLUME | B6: Cover Volume | C6: AI | D6: Gameplay engineer | E6: C02-S04 | F6: State machine, perception/path rules, animation hooks, debug view and fixture tests. | G6: M06/M12 | H6: Not started
A7: AI-CUSTODIAN | B7: Custodian | C7: AI | D7: Gameplay engineer | E7: C01-S06 | F7: State machine, perception/path rules, animation hooks, debug view and fixture tests. | G7: M06/M12 | H7: Not started
A8: AI-EVAC-SAFETY | B8: Evac Safety | C8: AI | D8: Gameplay engineer | E8: C07-S02 | F8: State machine, perception/path rules, animation hooks, debug view and fixture tests. | G8: M06/M12 | H8: Not started
A9: NAR-ORREN-FREED | B9: Orren Freed | C9: Narrative state | D9: Narrative designer + engineer | E9: C03-S04 | F9: Persistent fact, source trigger, redundant readable evidence and checkpoint restoration. | G9: M12/M14 | H9: Not started
A10: NAR-ROOT-RELEASED | B10: Root Released | C10: Narrative state | D10: Narrative designer + engineer | E10: C08-S03 | F10: Persistent fact, source trigger, redundant readable evidence and checkpoint restoration. | G10: M12/M14 | H10: Not started
A11: SYS-AGGREGATE-HOLD | B11: Aggregate Hold | C11: System | D11: Gameplay/lead engineer | E11: C07-S01 | F11: Runtime contract, data/config, debug view, save behavior and automated fixture. | G11: M02/M12 | H11: Not started
A12: SYS-ASSEMBLY-SUPPORT | B12: Assembly Support | C12: System | D12: Gameplay/lead engineer | E12: C06-S04 | F12: Runtime contract, data/config, debug view, save behavior and automated fixture. | G12: M02/M12 | H12: Not started
A13: SYS-CONDUIT-GRAPH | B13: Conduit Graph | C13: System | D13: Gameplay/lead engineer | E13: C03-S02 | F13: Runtime contract, data/config, debug view, save behavior and automated fixture. | G13: M02/M12 | H13: Not started
A14: SYS-DEAD-NETWORK | B14: Dead Network | C14: System | D14: Gameplay/lead engineer | E14: C08-S04 | F14: Runtime contract, data/config, debug view, save behavior and automated fixture. | G14: M02/M12 | H14: Not started
A15: SYS-EVAC-GROUP-A | B15: Evac Group A | C15: System | D15: Gameplay/lead engineer | E15: C07-S03 | F15: Runtime contract, data/config, debug view, save behavior and automated fixture. | G15: M02/M12 | H15: Not started
A16: SYS-EVAC-GROUP-B | B16: Evac Group B | C16: System | D16: Gameplay/lead engineer | E16: C07-S04 | F16: Runtime contract, data/config, debug view, save behavior and automated fixture. | G16: M02/M12 | H16: Not started
A17: SYS-GRAVITY-PROCESS | B17: Gravity Process | C17: System | D17: Gameplay/lead engineer | E17: C03-S03 | F17: Runtime contract, data/config, debug view, save behavior and automated fixture. | G17: M02/M12 | H17: Not started
A18: SYS-HANDOFF | B18: Handoff | C18: System | D18: Gameplay/lead engineer | E18: C01-S02 | F18: Runtime contract, data/config, debug view, save behavior and automated fixture. | G18: M02/M12 | H18: Not started
A19: SYS-HARNESS-HOLD | B19: Harness Hold | C19: System | D19: Gameplay/lead engineer | E19: C04-S02 | F19: Runtime contract, data/config, debug view, save behavior and automated fixture. | G19: M02/M12 | H19: Not started
A20: SYS-HOLD | B20: Hold | C20: System | D20: Gameplay/lead engineer | E20: C01-S03 | F20: Runtime contract, data/config, debug view, save behavior and automated fixture. | G20: M02/M12 | H20: Not started
A21: SYS-HOLD-OWNER | B21: Hold Owner | C21: System | D21: Gameplay/lead engineer | E21: C02-S03 | F21: Runtime contract, data/config, debug view, save behavior and automated fixture. | G21: M02/M12 | H21: Not started
A22: SYS-NETWORK-CONTROL | B22: Network Control | C22: System | D22: Gameplay/lead engineer | E22: C06-S02 | F22: Runtime contract, data/config, debug view, save behavior and automated fixture. | G22: M02/M12 | H22: Not started
A23: SYS-NODE-SELECT | B23: Node Select | C23: System | D23: Gameplay/lead engineer | E23: C07-S02 | F23: Runtime contract, data/config, debug view, save behavior and automated fixture. | G23: M02/M12 | H23: Not started
A24: SYS-ROOT-RELEASE | B24: Root Release | C24: System | D24: Gameplay/lead engineer | E24: C08-S03 | F24: Runtime contract, data/config, debug view, save behavior and automated fixture. | G24: M02/M12 | H24: Not started
A25: SYS-SUPPORT | B25: Support | C25: System | D25: Gameplay/lead engineer | E25: C02-S05 | F25: Runtime contract, data/config, debug view, save behavior and automated fixture. | G25: M02/M12 | H25: Not started
A26: SYS-SUPPORT-CONDITION | B26: Support Condition | C26: System | D26: Gameplay/lead engineer | E26: C05-S03 | F26: Runtime contract, data/config, debug view, save behavior and automated fixture. | G26: M02/M12 | H26: Not started
