id,chapter,title,minutes,kind,space,entry,action,threat,exit,checkpoint,assets,test,campaign_start_min,campaign_end_min
C01-S01,1,A hand on the table,3,Playable opening,18 m apartment-to-landing route; one depth connector,"A dim kitchen. A spoon rattles in a cup although the room looks still. Anja repairs a porcelain wall fitting. Ivo sits at the table; the camera is already in gameplay position. At three seconds, directional input lets him stand and move. His pale collar separates him from the dark dresser.","At 00:03–00:35, walk to Anja. She offers two taps when close, not on a fixed timer. At 00:35–01:10, Interact slides a light chair 0.8 m out of the doorway: an unthreatened grip lesson. At 01:10–02:00, follow her through the hall and step a 0.2 m threshold. At 02:00–03:00, she checks the landing terminal as the public alarm changes. Optional inspection of the cup adds seconds, not a collectible.",No lethal threat. Dust falls while the hand fitting remains motionless. Anja waits naturally at the door if Ivo explores. The alarm builds urgency without forcibly moving him.,"The apartment is established as a lived-in home, not a generic dungeon. Control has never been removed for an opening movie. Anja leads into the stairwell.",CP-C01-01 after standing; CP-C01-02 at stairwell entry. A resume before the gesture reoffers it; a resume afterward does not repeat the whole opening.,CHR-IVO; CHR-ANJA; KIT-DOMESTIC; PROP-CHAIR; PROP-CUP; ANIM-TAP; AUD-HOME; CAM-HOME,New users move within 15 seconds and discover Interact without written instructions in at least 4/5 formative sessions; allow a delayed optional glyph after 12 seconds of no progress.,0,3
C01-S02,1,The landing does not fall,3,Separation / narrative event,14 m two-level stairwell; foreground refuge and rear service hatch,The lower landing drops a few centimeters. Anja places her hand in a terminal; the descent stops while loose plaster continues falling. Ivo is on the opposite side of the fracture.,"Move across the held landing. Anja points rather than speaks. Once Ivo is on the far safe shelf, two Custodians enter from the lower stairs. They connect a wheeled bypass harness, transfer her load, and take her through a rear hatch. Ivo can retreat into a visible recess, but cannot cross the physically folded stairs back to her. One transport clamp drops the portable brace beside him.","The capture is staged, not a stealth fail that the player could have prevented. During the 10-second transfer, Ivo remains movable in a safe foreground area. Do not imply there was a hidden rescue solution.",Pick up the brace with Interact. Anja taps twice on the transport rail before the rear door closes. A cable path and wet wheel marks lead downward.,CP-C01-03 after brace pickup. Store AnjaTransported and BraceOwned together; never reload with the brace missing and the door closed.,PROP-TRANSPORT-RIG; SYS-HANDOFF; ANIM-ANJA-TRANSFER; AUD-ALARM; VFX-PLASTER,"Ivo cannot obstruct the transfer, trap an NPC in the hatch, or be crushed by the scripted stair. The brace remains reachable after every input permutation.",3,6
C01-S03,1,The useful shutter,4,P01 timing / first Hold,16 m service corridor; 2.4 m tall shutter; safe observation alcove,A shutter rises every six seconds and closes before Ivo can cross its full threshold. A white exposed contact moves with it; nearby unconnected pipes have no such fitting.,"Stand within 3.2 m, face the contact and press Hold as the shutter rises. The process stops immediately. Cross beneath while maintaining Hold, then release once the safe floor beyond is reached. A low warning lip first demonstrates that a closing shutter pushes a loose tray aside. The optional glyph appears only after the player has had a chance to infer the interaction.",First incomplete attempt is recoverable on the shallow threshold shelf. The inner pinch is lethal only after its motion and consequence are visible. No blind opening jump is required.,"The shutter resumes its six-second cycle, but a faint copy of its rattle persists in Ivo’s wrist. He grips his wrist briefly while locomotion remains responsive.",CP-C01-04 before the shutter; CP-C01-05 beyond it. Initial target acquisition and released state must reconstruct identically.,PUZ-SHUTTER; PROP-TRAY; SYS-HOLD; ANIM-HOLD-A; AUD-HOLD-MOTOR; CAM-PUZZLE,"At least 4/5 fresh players can explain “it resumes, it does not repair” after a repeat demonstration. Test holding at 0%, 25%, 50% and 100% travel.",6,10
C01-S04,1,The tilted drum,4,P02 spatial orientation,20 m maintenance bay; 3 m diameter indexed maintenance drum,A rotating drum has one flat maintenance deck. It periodically aligns with the entry floor and an exit shelf 1.6 m away. Its main axle contact is clearly visible.,"Observe the deck for one cycle, Hold when its tread is close to horizontal, step aboard and jump the 1.6 m exit gap. The player can arrest it at any phase; angles within the validated walkable range are legitimate solutions. A safe lower floor allows a failed alignment to be reconsidered without death.","The danger is learning weight and footing, not an enemy. Hanging tools keep swinging when the drum is held, demonstrating that Hold is local.",Ivo reaches a grille overlooking Anja’s transport route. His fingers trace a tiny circle after the axle restarts; the visual connection is subtle and repeatable.,CP-C01-06 on the far shelf. Below-deck recoveries do not restart the room.,PUZ-ROTATOR; PROP-TOOLS; KIT-SERVICE; ANIM-PLATFORM-BALANCE; VFX-DUST,"Moving-platform transfer retains correct velocity and does not throw Ivo. Any stable solution angle inside tolerance passes, rather than one invisible exact angle.",10,14
C01-S05,1,Below the wheels,3,Traversal / environmental tracking,30 m subfloor passage; one crawl and a 0.7 m ledge,"The transport wheels move along a grate overhead. Anja’s doubled sleeve stitching is visible through one gap. The route is lit by intermittent warm strips, not arrows.","Crouch beneath a pipe, climb a short ledge, and follow the moving shadows. A short optional recess reveals discarded terminal covers neatly stacked like household crockery. Returning to the route requires no puzzle reset.","A Custodian’s boots stop directly above Ivo. Dust shakes onto his hair. He can keep moving; the worker is inspecting a load gauge, not using an invisible detection cone through the floor.","A heavy service door separates Ivo from the transport, while an adjacent maintenance route remains open. Anja is lost from view for the first time.",CP-C01-07 before the next pursuit. No checkpoint is placed inside the crawl transition.,KIT-SERVICE; PROP-TERMINAL-COVERS; ANIM-CRAWL; AUD-FOOTSTEPS-OVERHEAD,The mother-tracking cue remains legible without sound. Foreground pipes never hide the climbable ledge.,14,17
C01-S06,1,The worker behind you,3,P03 first pursuit,34 m chase lane; simple held shutter and refuge door,"A covered Custodian notices Ivo from a rear doorway, hesitates, and reaches toward him. The coat visibly covers his harness contact.","Run right, Hold the familiar exit shutter while it is high, crouch beneath the low final section, then release after the line is clear. The worker collides with the closed shutter and starts a slower reopening procedure. Ivo enters the laundry through a low side door the worker cannot immediately use.","Pursuit uses a 2.0-second initial reaction window and a chase speed slightly above Ivo’s, balanced by the route obstacle. No random teleport, sprint slowdown or newly introduced jump is allowed.","A door closes behind Ivo; machinery muffles the worker’s calls. The chapter ends through continuous traversal into the laundry, not a title card.","CP-C01-07 before detection; CP-C01-08 in the laundry airlock. A failed attempt repeats approximately 20–35 seconds, not the earlier drum puzzle.",CHR-CUSTODIAN-COVERED; AI-CUSTODIAN; PUZ-SHUTTER; ANIM-CAPTURE; AUD-CHASE-A,"A correctly executed taught sequence succeeds every time. Verify controller toggle-Hold, slow-read assistance and 30 fps input buffering.",17,20
C02-S01,2,Sleeves with no hands,3,Exploration / motif,32 m laundry entry; foreground machines and deep rack aisles,Rows of washed coats hang with sleeves tied shut. A few motionless attendants face walls between dryers. Water drips freely around completely stationary hanging racks.,"Walk between idle machines, push a wheeled basket off a shallow drain cover, and step into the back corridor. Through frosted glass, a worker presses a hand into a fitting and a heavy roller stops elsewhere.",One apparent silhouette behind a sheet is only a tied coat. Do not play a jump-scare sting. A genuine distant breath follows later from a wall fitting.,The player has seen a person use the same infrastructure without yet seeing the permanent cost. The first free anchor is framed on the approach to the next obstacle.,CP-C02-01 at basket passage. No irreversible basket trap: rail stops retain its handle.,KIT-LAUNDRY; PROP-TIED-COAT; PROP-BASKET; AUD-WATER-DRIP; VFX-STEAM,The decorative coats are not mistaken for interactable targets. The critical anchor silhouette reads at 720p.,20,23
C02-S02,2,Someone else holds it,4,P04 first transfer,18 m bay; 4 m drying bridge; ladder behind its far rail,A drying bridge rises and tips under a counterweight. A free anchor stands at the near end. Beyond the bridge is a two-handed ladder that cannot be climbed while Ivo personally carries the Hold.,"Arrest the bridge level. Approach the anchor and press Interact to hand off the load. Its vane remains taut when Hold is released. Walk across and climb the ladder with free hands. A failed attempt to climb while carrying the Hold gets a clear glance-and-hand response, not an involuntary release.","No active enemy. A sharp breath comes from behind the anchor as transfer completes. A vibration propagates along the seam; it is a cue, not a jump scare.",The player gains capacity through transfer and can see the bridge still suspended beneath him. No upgrade menu appears.,CP-C02-02 before transfer; CP-C02-03 at ladder top. Anchor ownership must persist after save and reload.,PUZ-DRYING-BRIDGE; PUZ-ANCHOR; SYS-TRANSFER; ANIM-LADDER; AUD-BEARER-INHALE,"Players understand that releasing the button does not release an external anchor. Test failed destination validation, interrupted animation and rapid repeated Interact.",23,27
C02-S03,2,The hanging corridor,5,P05 allocation / route construction,26 m two-tier rack room; two coupled rack lanes and one free anchor,Two drying racks alternate across a narrow gap. Holding the lower rack allows access to a side crank; turning that crank repositions the upper rack but would strand Ivo if he kept the wrong load.,"Hold the lower rack at the side landing, transfer it into the local anchor, then use the now-free brace to arrest the upper rack at an overhead crossing. Cross the lower landing, climb a short one-handed catch and jump from the upper rack to the exit. Only the local lower rack uses the anchor; the earlier bridge remains on its own separate circuit.","A harmless descending rack squeezes a basket before the playable crossing, showing pinch danger. Falling into the drain trough is recoverable. The player never needs to juggle more than one personal process.",The exit view shows both racks being sustained in different ways. One breathing rhythm is nearby; another is far below.,"CP-C02-04 after the lower rack is anchored, CP-C02-05 at exit. Restore the partial solution on a traversal failure.",PUZ-RACK-PAIR; PROP-CRANK; PUZ-ANCHOR; SYS-HOLD-OWNER; CAM-WIDE-PUZZLE,Test every reachable rack phase. A valid alternative arrangement is accepted if its collision path is safe; no invisible required-operation sequence.,27,32
C02-S04,2,The wet sheet,5,P06 stealth / occlusion,"30 m rack aisle; three curtains, one light shutter, a single patrol",A lamp behind a wet sheet reveals the Custodian’s silhouette. A thick blanket beside it fully obscures him. The two cover classes are demonstrated in the same composition before Ivo must hide.,"Move the heavy blanket rack while the worker is away, creating an opaque refuge between two exposed floor strips. From refuge, Hold the lamp’s mechanical shutter closed—not the light itself—to cross behind the translucent sheet. Release from the next opaque cover so the patrol resumes without knowledge of Ivo’s hidden position.","The Custodian investigates witnessed movement and audible rolling, not darkness values sampled unpredictably from pixels. Suspicion can decay behind valid cover. If spotted, a short retreat route remains until Capture.",The player has used the civic restraint to hide from its maintainer. A sheet briefly clings to a human outline built into the next wall.,"CP-C02-06 before patrol entry; CP-C02-07 after the opaque rack is placed, with the patrol in a safe known phase.",AI-COVER-VOLUME; PROP-SHEET-VARIANTS; PUZ-LIGHT-SHUTTER; AUD-RACK-ROLL,"Visual cover and AI cover agree. Test backlit silhouettes, brightness settings, no-audio play and waiting through five complete patrol cycles.",32,37
