A1: THE HELD | AUDIO
A2: Initial allocations, not completed inventory or fixed commissioned quantities. Revise after vertical-slice throughput validation.
A4: Family | B4: Allocation | C4: Unit | D4: Coverage | E4: Status
A5: Footsteps | B5: 80 | C5: Exports / stems / variants | D5: Eight surface families; walk/run variations; speed/contact-driven. | E5: Not started
A6: Ivo breath/effort | B6: 24 | C6: Exports / stems / variants | D6: Four emotional/strain bands with variation; no tiny obvious loop. | E6: Not started
A7: Cloth and grip | B7: 32 | C7: Exports / stems / variants | D7: Jacket, crawl, rail/lever/brace contacts and paired gestures. | E7: Not started
A8: Mechanism cycles | B8: 64 | C8: Exports / stems / variants | D8: Eight core process families; start/loop/stop/held/release/support variants. | E8: Not started
A9: Anchor/bearer | B9: 28 | C9: Exports / stems / variants | D9: Acquire, transfer, strain, relief and four distinct bodily textures. | E9: Not started
A10: Custodian | B10: 24 | C10: Exports / stems / variants | D10: Footsteps, equipment, limited nonexpository calls and capture/recovery. | E10: Not started
A11: Porter | B11: 16 | C11: Exports / stems / variants | D11: Carriage, harness, basket, hoses, breath and capture telegraph. | E11: Not started
A12: Chapter ambience | B12: 24 | C12: Exports / stems / variants | D12: Three layered beds per chapter, plus transitions through mix states. | E12: Not started
A13: Water and structure | B13: 20 | C13: Exports / stems / variants | D13: Held pressure, test flow, discharge, settlement and distant sea. | E13: Not started
A14: Music stems | B14: 18 | C14: Exports / stems / variants | D14: Six cue families with three mixable layers where justified. | E14: Not started
A15: UI and final motifs | B15: 18 | C15: Exports / stems / variants | D15: Minimal menu/error/save feedback, taps and final release details. | E15: Not started
A17: ALLOCATION TOTAL | B17: =SUM(B5:B15) [cached=348]
