id,category,scope,owner,first_use,sequences,milestone,acceptance,status,estimate_person_days
CHR-IVO,CHR,1.52 m boy mesh; ash-blue jacket; bare/shod hand sockets; brace fit; wet material; four additive strain presentations; close hand LOD,Character art + animation,SQ-01-01,"[""SQ-01-01"", ""SQ-01-02"", ""SQ-01-03"", ""SQ-01-04"", ""SQ-02-01"", ""SQ-02-02"", ""SQ-02-03"", ""SQ-02-04"", ""SQ-03-01"", ""SQ-03-02"", ""SQ-03-03"", ""SQ-03-04"", ""SQ-04-01"", ""SQ-04-02"", ""SQ-04-03"", ""SQ-04-04"", ""SQ-05-01"", ""SQ-05-02"", ""SQ-05-03"", ""SQ-05-04"", ""SQ-06-01"", ""SQ-06-02"", ""SQ-06-03"", ""SQ-06-04"", ""SQ-07-01"", ""SQ-07-02"", ""SQ-07-03"", ""SQ-07-04"", ""SQ-08-01"", ""SQ-08-02"", ""SQ-08-03"", ""SQ-08-04"", ""SQ-09-01"", ""SQ-09-02"", ""SQ-09-06"", ""SQ-09-07"", ""SQ-09-08""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-ANJA,CHR,Repair-worker mesh; identifiable double-stitched cuff; normal/transport presentations; matching integrated hand presentation,Character art + animation,SQ-01-01,"[""SQ-01-01"", ""SQ-01-02"", ""SQ-07-03"", ""SQ-09-06""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-ORREN,CHR,Elderly worker mesh; bent shoe; missing coat button; constrained/free/recovered states on shared adult skeleton,Character art + animation,SQ-04-04,"[""SQ-04-04"", ""SQ-07-04"", ""SQ-09-05"", ""SQ-09-08""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-CUST-A,CHR,Covered-contact Custodian; waterproof coat; padded harness; torch; visibly closed protective port,Character art + animation,SQ-01-02,"[""SQ-01-02"", ""SQ-01-04"", ""SQ-03-02""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-CUST-B,CHR,Exposed-contact Custodian; same adult skeleton; readable porcelain socket; conscious facial micro-motion,Character art + animation,SQ-04-03,"[""SQ-04-03""]",M06,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-PORTER,CHR,Adult rescue-worker body and head fitted to rig; independent gaze and breathing; wet/dry variants,Character art + animation,SQ-02-03,"[""SQ-02-03"", ""SQ-05-04"", ""SQ-06-03""]",M06,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-ROOT,CHR,"Anja-root visible body proxies; hand and cuff fidelity; irreversible integration visible without gore; shared identity, not new monster",Character art + animation,SQ-07-03,"[""SQ-07-03"", ""SQ-09-06"", ""SQ-09-07""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-BEARER-01,CHR,Queue worker base body A; leaning constraint poses; eyes and fingers independent of forced torso,Character art + animation,SQ-03-01,"[""SQ-03-01"", ""SQ-04-01"", ""SQ-04-02"", ""SQ-07-01""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-BEARER-02,CHR,Laundry attendant base body B; standing strain; wrist/drum relationship; released stumble,Character art + animation,SQ-04-01,"[""SQ-04-01"", ""SQ-04-02"", ""SQ-07-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-BEARER-03,CHR,Local bearer base body C; overhead support posture; load-release recovery,Character art + animation,SQ-07-01,"[""SQ-07-01"", ""SQ-07-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-BEARER-04,CHR,Adult base body D for cohort variation; layered work clothes; nonuniform gait and recovery,Character art + animation,SQ-07-04,"[""SQ-07-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-BEARER-HAND,CHR,Readable hand/forearm insert; porcelain shell alignment; fingernail motion; single reveal variant,Character art + animation,SQ-03-04,"[""SQ-03-04""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-RESIDENTS,CHR,Background resident variants assembled from adult bases; groceries and terrace gestures; no independent survival logic,Character art + animation,SQ-02-04,"[""SQ-02-04"", ""SQ-04-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CHR-SURVIVORS,CHR,Twelve roster-based presentation prefabs assembled from bearer bases and Orren; no twelve additional unique sculpts,Character art + animation,SQ-08-03,"[""SQ-08-03"", ""SQ-09-01"", ""SQ-09-02"", ""SQ-09-03"", ""SQ-09-04"", ""SQ-09-05"", ""SQ-09-08""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FAUNA-WADER,FAUNA,Small coastal bird; forage/idle/flee; disconnected from Hold and harmless to stealth,Character art + animation,SQ-02-01,"[""SQ-02-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FAUNA-FISH,FAUNA,Sparse fish silhouettes; idle and disturbance response; no collectible or combat function,Character art + animation,SQ-06-01,"[""SQ-06-01""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-TERRACE,ENV,Kitchen wall/window/door modules; apartment hall; landing; risers; exterior facade; trim; roof silhouette; repair alcove,Environment art,SQ-01-01,"[""SQ-01-01"", ""SQ-01-02""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SERVICE,ENV,Concrete corridor straight/corner; door frame; stairwell; crawl throat; railing; utility recess; handrail conduit,Environment art,SQ-01-03,"[""SQ-01-03"", ""SQ-01-04"", ""SQ-03-04""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-GARDENS,ENV,Raised beds; drain channel; bank corners; exposed ledges; allotment retaining walls; reed patch; stone refuges; loading grate,Environment art,SQ-01-04,"[""SQ-01-04"", ""SQ-02-01"", ""SQ-02-02"", ""SQ-02-03""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-CULVERT,ENV,Low drain tunnel; grate openings; crawl slope; daylight exit; root-return service culvert; drip ledges,Environment art,SQ-02-04,"[""SQ-02-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-LAUNDRY,ENV,Tall column bays; gantry rail; machine plinths; drying-frame track; brick/concrete walls; lower catch shelf; upper search catwalk,Environment art,SQ-02-04,"[""SQ-02-04"", ""SQ-03-01"", ""SQ-03-02"", ""SQ-03-03""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-EXCHANGE,ENV,Public concourse; restrained waiting bay; tram platform edge; luggage recess; under-track supports; ticket/window silhouettes,Environment art,SQ-04-01,"[""SQ-04-01"", ""SQ-04-02"", ""SQ-04-03"", ""SQ-04-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-CUT,ENV,Chalk walls; excavation ledges; counterweight shafts; receiving sockets; exposed track; salvage rack; large distant mass silhouettes,Environment art,SQ-05-01,"[""SQ-05-01"", ""SQ-05-02"", ""SQ-05-03"", ""SQ-05-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-DROWNED,ENV,Submerged shop fronts; old tram stop; submerged windows; stairs; dry landing; bell guide shaft; waterline portals,Environment art,SQ-06-01,"[""SQ-06-01"", ""SQ-06-02"", ""SQ-06-03"", ""SQ-06-04""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-BURDEN,ENV,Reverse apartment walls; service slits; body-link bays; exposed bearing chambers; root approach; safe cohort exits,Environment art,SQ-07-01,"[""SQ-07-01"", ""SQ-07-02"", ""SQ-07-03"", ""SQ-07-04"", ""SQ-09-06""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SEAWALL,ENV,Retaining gates; inspection walkway; ocean-facing aperture; basin wall; discharge duct; deflector pit; inland support piers,Environment art,SQ-08-01,"[""SQ-08-01"", ""SQ-08-02"", ""SQ-08-03"", ""SQ-09-03"", ""SQ-09-04"", ""SQ-09-07""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-WARD-INTERIOR,ENV,Three-story room kit; kitchen; dormitory; stair spine; service cradle; front porch; window/curtain sockets; containment bounds,Environment art,SQ-08-04,"[""SQ-08-04"", ""SQ-09-01"", ""SQ-09-02""]",M09,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-INLAND,ENV,Dry receiving platform; ordinary gate wall; embankment steps; rail path; distant coast; final quiet walking lane,Environment art,SQ-09-05,"[""SQ-09-05"", ""SQ-09-08""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
GME-LEVER,GME,Shared one-hand lever family; rest/travel/latched states; visible mechanical linkage; interaction sockets,Gameplay + technical art,SQ-03-01,"[""SQ-03-01""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-TRAM,GME,Suspended transit carriage; bogie and support linkage; interior silhouettes; load-bearing deck interface,Gameplay + technical art,SQ-04-01,"[""SQ-04-01""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-BRACE,GME,Portable restraint mesh; palm contact; ceramic vane; range-tension animation; nonmagical signal cue; hand-fit rig,Gameplay + technical art,SQ-01-02,"[""SQ-01-02"", ""SQ-01-03""]",M10,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-WALL-FITTING,GME,Standard single contact; exposed and covered mounting; cable socket; state vane; damaged porcelain reveal variant,Gameplay + technical art,SQ-01-01,"[""SQ-01-01"", ""SQ-03-04""]",M10,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ANCHOR,GME,Transfer socket; compatible load plate; occupied/free readable states; concealed bearer connection,Gameplay + technical art,SQ-03-01,"[""SQ-03-01"", ""SQ-03-02"", ""SQ-03-03"", ""SQ-04-02"", ""SQ-04-04"", ""SQ-05-03""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-SHUTTER,GME,Sliding shutter family; track; motor; contact; safe recess markers; swept crush volume; lower and upper stops,Gameplay + technical art,SQ-01-03,"[""SQ-01-03"", ""SQ-01-04"", ""SQ-04-03""]",M10,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-ROTATOR,GME,Four-orientation rotating maintenance tread; axle; contact; walkable surfaces; bounded angle driver,Gameplay + technical art,SQ-01-03,"[""SQ-01-03""]",M10,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-LANDING,GME,Hinged apartment landing; capture/support sockets; damaged edge; underfloor collision; transport load connection,Gameplay + technical art,SQ-01-02,"[""SQ-01-02""]",M10,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-WINDSCREEN,GME,Broad hinged panel; wind driver; connected contact; recoverable fall shelf; clear walkable face,Gameplay + technical art,SQ-02-01,"[""SQ-02-01""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-SLUICE,GME,Main gate; guide; wheel/one-hand latch; level linkage; visible high/low overflow markers,Gameplay + technical art,SQ-02-02,"[""SQ-02-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-DIVERSION,GME,Latched branch gate; channel geometry; one-hand control; direction-readable flow outlet,Gameplay + technical art,SQ-02-02,"[""SQ-02-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-FLOAT,GME,Rail-guided work float; lower/upper stops; bounded buoyancy; stable foot surface,Gameplay + technical art,SQ-02-02,"[""SQ-02-02""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-PORTER-DRIVE,GME,Rail motor and exposed restraint contact; linked grate detector; actuator phase display through motion,Gameplay + technical art,SQ-02-03,"[""SQ-02-03""]",M14,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
GME-BRIDGE,GME,Laundry bridge assembly; hinge; transfer contact; receiving support; railings; clear traversal face,Gameplay + technical art,SQ-03-01,"[""SQ-03-01""]",M13,"Authoritative state and sockets match puzzle card; visible state agrees with collision, sound and save restore; no softlock under wrong-order use.",Backlog,
