id,title,start_week,end_week,dependencies,build,assets,systems,playable,tests,problems,exit_gate,status
M00,Project foundation and reference capture,1,2,[],"Create repository, clean build pipeline, editor/package lock, naming rules, ID registry, input shell and ownership of every first-sprint task. Capture a licensed local INSIDE reference session and compare observations to the proposed metrics.","Metric block meshes, temporary Ivo capsule, neutral material, original placeholder glyphs, reference review template.","Bootstrap, build automation, test runner and basic settings; no external account needed to launch.",Packaged executable opens a metric room and exits cleanly on two machines.,"Clean checkout/build, controller recognition, package compatibility, source-license inventory and initial frame-time capture.","Unreproducible local setup, unsupported package combination, accidental external-service dependency, copied reference assets.",Technical lead signs a reproducible clean-machine build; director signs evidence-versus-assumption reference sheet; producer assigns M01–M09 owners.,Backlog
M01,Movement and interaction prototype,3,5,"[""M00""]","Build the controller gym: run/stop/turn, gaps, slopes, steps, ledges, ladders, crouch, chair push and rejected heavy interaction. Establish socket and hand-occupation rules.","Temporary Ivo rig, locomotion/interaction clips, simple contact surfaces and grip points.","Input, lane motor, buffering, ledge queries, interaction resolver, initial presentation state.",A five-minute traversal loop with no debug-only movement and a controller/keyboard alternative.,"Thirty, sixty and 120 fps; reversal responsiveness; capsule clearance; wrong approach; remapping; sustained-input assistance.","Sliding feet, delayed valid jumps, inconsistent step height, root-motion penetration, ambiguous target choice.","Routine gap and stop tests pass repeatedly; fresh users can move and interact without verbal coaching; movement values are recorded, not hidden in prefabs.",Backlog
M02,Central Hold mechanic prototype,4,7,"[""M00"", ""M01""]","Implement slider/rotator drivers, one personal owner, transfer anchor, support capture, range warning and resumable release. Add the live ownership graph.","Shutter, tread, single socket, anchor, brace vane and support block; temporary sounds and hand poses.","Mechanism drivers, atomic transactions, ownership validation, hand requirements and initial state serialization.","A repeatable gym that arrests, transfers, resumes and physically supports the same mechanisms.","Transfer/release on adjacent ticks, two requests for one owner, leaving range, pause/device cancellation, reload while held.","Double owners, free-fall transfer frame, unlimited stored impulse, random target changes, water/time-freeze ambiguity.",Ownership and release invariants pass automated fixtures; a tester describes what stops and what continues; no random power failures.,Backlog
M03,First complete puzzle prototype,6,9,"[""M01"", ""M02""]","Build first shutter/tread and a small support-relief fixture. Include entry observation, wrong-angle recovery, solved-state checkpoint and exit predicate.","Gameplay-grade shutter/tread collision, support pawl, marker-free camera volumes and basic foot/hand audio.","Moving support, swept crush, support graph, puzzle facts and local reset.",A six-to-eight-minute room sequence with an actual solution and recoverable failed approaches.,Watch unfamiliar players without hints; attempt wrong order and edge jumps; restart before/after support.,"Puzzle only understandable from debug labels, unstable physics, excessive waiting, unnecessary repeat traversal.",Solution follows visible causality; repeated success does not depend on a lucky collision; reset restores a solvable arrangement.,Backlog
M04,Core gameplay loop and narrative-state prototype,8,11,"[""M02"", ""M03""]","Join arrival, observation, manipulation, bodily response, traversal and consequence. Implement sequence facts and event phases, not only disconnected test rooms.","Small service route, bearer-hand placeholder, first contextual after-motion, coherent ambient bed.","Sequence exits, ledger, checkpoints, idempotent events, debug fixture loading.",Ten-minute continuous route including a transfer and an early hint of a hidden bearer.,Quit/reload at each event phase; distinguish useful action from disturbing consequence; measure dead time.,"Narrative props unrelated to puzzle, event duplication, camera taking control for too long, compulsory confusion.",Full loop works from menu to checkpoint resume; player understanding and uncertainty match the intended stage.,Backlog
M05,Horror and tension prototype,10,13,"[""M04""]","Build thin-sheet/thick-blanket visibility and a restrained-body reveal. Tune anticipation, pause, approach and release rather than adding random scares.","Two cloth types, search light, restrained torso with eyes/breath, directional sound layers and caption alternatives.","Visibility tags, camera composition, audio state and interruptible narrative reaction.","An eight-minute tension route with one safe teaching moment, one threat and one quiet realization.","Muted audio, low brightness, grayscale and reduced-motion modes; ask what the player believed was alive and aware.","Unreadable cover, scare sting doing all the work, apparent robot rather than person, repetition exposing scripted trick.",Players explain the danger before failure and notice continuing awareness without exposition; sensory cues agree.,Backlog
M06,Custodian and Porter prototypes,11,16,"[""M03"", ""M05""]","Implement both threat families, including covered/exposed harnesses and Porter detect/reach/secure/retract. Build sack demonstration, chase obstruction and rescue-dock behavior in fixtures.","Rough adult rigs, Porter carriage/rail/hose, exposed socket, capture poses, readable warning sounds.","Perception, route pursuit, harness restraint, swept capture and Porter load zones.",Separate representative Custodian and Porter encounters with correct retries.,"Sight obstruction, last-known position, no teleport, one-Hold allocation, capture from moving supports, repeated pause.","Unexplained detection, unavoidable rail reach, decorative shields treated as immunity, capture through barriers.",Each encounter can be predicted from its teaching event and debug trace; ten repeated retries remain solvable.,Backlog
M07,First integrated environment and pipeline,12,17,"[""M04"", ""M05""]","Bring a Laundry bay to representative environment quality while creating reusable import, lighting, camera and streaming workflows.","One final-quality wall/column/rail kit, Ivo material benchmark, laundry cart, sheet, anchor, lighting and VFX bundle.","Streaming, camera, contact IK, pooled audio/VFX, asset validator and capture tool.",Five-to-eight-minute packaged environment with genuine transitions rather than editor teleport.,"Lighting-only readability, floor-device profiling, cold load, backwards movement, material scale and socket import.","Photorealistic noise, hidden path, texture inconsistency, hitches, hand penetration, art requiring bespoke scripts.",Art/audio leads approve gameplay-camera benchmark; import and performance evidence are repeatable on clean assets.,Backlog
M08,Swimming and air-bell risk prototype,14,20,"[""M02"", ""M03"", ""M06""]","Build bounded water, head-air tests, breath/recovery, one-arm Hold swimming, guided bell and obsolete tipping dock.","Swim poses, basic water shader, bell/winch/hose, pocket debug volume and submerged Porter variant.","Water graph, swimming motor, breath assistance, buoyancy constraints and coherent water snapshots.",A ten-minute underwater route from first swim to moving air pocket and escape from the retrieve-and-tip apparatus.,"Surface thrash, breath exploit, timed swim legs, bell pose restore, input switching, accessibility and low effects.","Invisible air rules, camera hiding the next opening, pocket that never spills, cheap drowning, free physics softlocks.",New players understand where breath exists; route margins and coherent reloads pass; dock danger is visibly caused by tipping.,Backlog
M09,Reciprocal balance and Walking Ward risk proof,14,22,"[""M02"", ""M03""]","Build the quarry carrier, movable room and rough inhabited Ward on a support route. Implement narrow support, crouch and protected final release using synthetic prerequisite facts initially.","Greybox hostel with two chimneys/curtain, four supports, cradle, simple occupants, girder, receiving pads, domestic sound cue.","Shared station input, support graph, guided gait, room-local presentation, root-input guard; integrate real roster later.",A twelve-to-fifteen-minute progression from small carrier to First Step and two Ward maneuvers.,"Do players transfer controls without a new tutorial? Do they care about occupants? Pause, release, off-focus and support restore.","Comedy robot tone, unrelated vehicle controls, impossible unsupported steps, tedious foot micromanagement, accidental ending.",Director/engineering/animation approve controllable and emotionally legible reversal; blocking risks resolved before bulk campaign art.,Backlog
