group,allocation,coverage,unit,status
Footsteps,80,Eight surface families; walk/run variations; speed/contact-driven.,Exports / stems / variants,Not started
Ivo breath/effort,24,Four emotional/strain bands with variation; no tiny obvious loop.,Exports / stems / variants,Not started
Cloth and grip,32,"Jacket, crawl, rail/lever/brace contacts and paired gestures.",Exports / stems / variants,Not started
Mechanism cycles,64,Eight core process families; start/loop/stop/held/release/support variants.,Exports / stems / variants,Not started
Anchor/bearer,28,"Acquire, transfer, strain, relief and four distinct bodily textures.",Exports / stems / variants,Not started
Custodian,24,"Footsteps, equipment, limited nonexpository calls and capture/recovery.",Exports / stems / variants,Not started
Porter,16,"Carriage, harness, basket, hoses, breath and capture telegraph.",Exports / stems / variants,Not started
Chapter ambience,24,"Three layered beds per chapter, plus transitions through mix states.",Exports / stems / variants,Not started
Water and structure,20,"Held pressure, test flow, discharge, settlement and distant sea.",Exports / stems / variants,Not started
Music stems,18,Six cue families with three mixable layers where justified.,Exports / stems / variants,Not started
UI and final motifs,18,"Minimal menu/error/save feedback, taps and final release details.",Exports / stems / variants,Not started
