id,name,start_week,end_week,dependencies,build,assets,systems,playable,tests,problems,gate,owner,status
M00,Project setup and reference calibration,1,2,None,"Create repository, clean build pipeline, exact engine/package lock, provisional hardware matrix, naming/ID rules and a tiny motion test gym. Conduct the assigned licensed hands-on reference review.","Capsule proxy, meter grid, neutral material, one floor, one moving platform, placeholder Ivo proportions; no bulk final environment art.","Input actions, scene bootstrap, build metadata, basic telemetry and packaged executable.",A packaged test gym launches and accepts keyboard/controller input; this is not yet a game slice.,Fresh-machine checkout and build; aspect ratios; remapping; 30/60/120 fps capture; package compatibility and license review.,"Editor-only dependencies, mismatched package versions, wrong scale, no reliable target hardware, assumptions copied from reference footage.",A second developer produces the same build from a clean checkout; director/engineer approve the feel-measurement plan and stack; unresolved commercial dependencies have an owner.,Producer + lead engineer,Not started
M01,Movement and interaction prototype,3,4,M00,"Implement lane motor, run/stop/jump, ledges, crouch, ladder, light grip and constrained heavy push. Establish interaction sockets and moving-platform support.",Proxy Ivo rig; floor/stair/ledge/ladder kit; trolley and grip handles; initial locomotion clips.,"Motor state machine, input buffering, collision queries, interaction selection and basic camera follow.",A 3–5-minute obstacle course containing every ordinary traversal action.,"Jump range, frame-rate parity, edge catches, foot sliding, release/cancel behavior, controller dead zones and one-action assistance.","Unwanted root-motion authority, slippery starts, moving-platform launches, jump input lost during landing, low tunnels trapping the capsule.",All defined traversal tests pass on keyboard/controller at 30/60/120 fps; ordinary jumps have visible margin; no critical controller defects.,Gameplay engineer + animator,Not started
M02,Central Hold mechanic prototype,5,6,M01,"Implement personal Hold, range warning, exposed-contact acquisition, atomic anchor transfer, support relief and a three-node station mock. Prototype the final control mode now, not in the last production quarter.","Slider, rotator, hinge, anchor, support prop, exposed harness proxy and three-node console.","Process state, owner graph, conduit path validation, station latches, snapshot serialization of Hold state.","A 5–8-minute laboratory of useful Holds, one transfer, one relief and stationary node selection.","1,000 acquire/release/transfer cycles per process type; occupied-anchor rejection; range break; pause and reload; conflicting commands; station context change.","Duplicated owners, force accumulation, bodies drifting while held, ambiguous latch release, station controls that feel unrelated to earlier play.",No ownership violations or lost process states; fresh testers can explain personal versus anchor/station retention; finale interface has a viable prototype.,Lead engineer + game director,Not started
M03,First complete puzzle prototype,7,8,M02,"Build P01 shutter and P10 staircase relief with recoverable failures, visible support geometry and an Orren proxy.","Two puzzle mechanisms, service catch, ratchet, wall/bearer proxy, basic contact sounds and hand animation.","Puzzle predicates, support tolerance, partial checkpoints, reason-coded invalid interactions and fast reset.","Two complete puzzles with entry, failure, recovery and durable exit state.",Five fresh formative sessions; confusion map; invalid support placement; softlock search; replay duration; save mid-relief.,"Players see a timing minigame instead of load transfer, hidden exact angles, support visually touching but logically rejected, rescues not reflected after reload.",At least 4/5 players understand why the supported stair no longer needs a bearer; all reachable prototype states recover without debug commands.,Director + gameplay engineer,Not started
M04,Core gameplay loop prototype,9,10,M03,"Connect a short traversal, Hold puzzle, transfer, consequence and exit into one continuous graybox. Add the first version of scenario orchestration and sequence launcher.","Reusable service/laundry graybox pieces, representative Ivo animation, temporary ambient layers and minimal UI.","End-to-end movement/interaction/Hold, puzzle reset, camera volumes, local save and scene transition.","A repeatable 10–12-minute game loop, not separate mechanic rooms.","Pacing, first-time goal readability, absence of unexplained rules, completion without designer commentary and packaged restart speed.","Long dead walks, similar puzzles back-to-back, camera movement hiding causes, atmospheric pauses that feel like stalled content.",Director signs the core loop as worth extending; no unresolved rule contradiction; production does not proceed based on an attractive still image alone.,Game director + producer,Not started
M05,Horror and tension prototype,11,12,M04,"Stage an anchor inhale, wet-sheet silhouette, conscious restrained face and a quiet aftermath. Establish tension-state audio and nonlethal observation timing.","One final-direction hand/porcelain study, sheet variants, face/eye proxy, breath recordings and lighting target.","Tension presentation, occlusion state, gameplay/audio phase sharing, detail camera and accessibility equivalents.",An 8–10-minute sequence that changes from useful control to unease without relying on a loud sting.,Fresh participants report what disturbed them; muted-audio and low-volume passes; readability on a dim display; intensity options.,"Grotesque imagery without understandable cause, predictable startles, inaudible core cues, accidental comedy in body pose or facial animation.",The human-cost inference is understood by most formative testers; atmosphere survives without surprise volume spikes; art/audio leads approve a reproducible target.,Director + audio lead + art lead,Not started
M06,Enemy and creature prototype,11,14,M04; overlaps M05,"Implement covered/exposed Custodian, perception and blocked behavior; build Porter path/capture/Hold loop; mock survivor refuge routing.","Shared Custodian skeleton, coat/port proxy, Porter rig proxy, basket platform, opaque/translucent cover and capture clips.","AI FSM, cover sensors, hearing events, harness Hold adapter, platform support, survivor safety gates.",P13 trolley escape and P14 Porter crossing in graybox; a simple two-group evacuation test.,Detection/recovery fairness; all AI states during Hold/reload; cover versus rendered appearance; capture telegraphs; NPC route deadlocks.,"Enemies know hidden positions, freeze clears awareness, Porter basket jitters, two-handed trolley interaction conflicts with Hold, survivor teleporting.",Known taught solutions succeed repeatedly; no unexplained immunity; player can identify every capture cause; two-group evacuation runs 20 times without deadlock.,Gameplay engineer + animator + QA,Not started
M07,First playable environment,13,16,M04; integrates M05/M06 as ready,"Build the laundry entrance and first transfer bay as a cohesive final-direction environment. Establish modular kit, materials, light, audio and streaming seam.","Laundry kit subset, hero drying bridge, anchor, Ivo production rig, sheet/rack props, local VFX and audio.","Lighting/render pipeline, collision/art alignment, asset import checks, one additive stream boundary and contact animation.",A 7–10-minute environment segment with a real puzzle and consequence.,"Motion image quality, grayscale readability, shadow/AA artifacts, collision seams, texture budgets and render cost on baseline fixture.","Beautiful but unreadable mechanisms, intrusive fog, foot sliding, arbitrary material highlights, unsupported render effects.",Art lead approves the in-motion benchmark; engineer confirms a scalable rendering path; source kit and import conventions are ready for reuse.,Environment lead + technical artist,Not started
M08,First 15-minute playable build,17,18,M04; M06; M07 conventions,"Assemble the opening from apartment through first Hold, drum and early subfloor route. Prioritize coherent onboarding over final art everywhere.","Domestic kit subset, Anja/transport proxies with recognizable cuff, brace, shutter/drum, opening gestures and alarm.","Opening scenario, follow/wait behavior, pickup persistence, first-use prompts, all ordinary movement and initial checkpoints.","The first roughly 15 minutes of the actual campaign, ending at a safe subfloor checkpoint rather than a forced timer.","Five fresh players; time to first input, reason for pursuit, discoverability of Hold, visibility of the mother’s capture and control-loss duration.","Players believe they failed to save Anja through poor skill, no motivation to continue, opening cinematic too long, brace pickup lost on save.",At least 4/5 testers understand the immediate objective and basic rule; no onboarding blocker; recorded action time is inside the planned opening range.,Director + narrative + QA,Not started
M09,First complete chapter,19,20,M08; M06,Finish C01-S01 through C01-S06 including the first pursuit and seamless laundry entry. Replace temporary rule explanations with environmental teaching.,"Complete opening gameplay props, Custodian covered variant, key Anja/Ivo animations, chase sound and transition dressing.","Chapter manifest, all C01 checkpoint states, chase orchestration, persistence into C02 and chapter replay preset.",The full nominal 20-minute Chapter 1 from new game to laundry entry.,"Three uninterrupted clean runs, all checkpoint reloads, failed pursuit recovery, chapter replay save isolation and fresh-player timing.","Exit entry mismatch, chase requires an untaught action, death repeats a long narrative event, chapter art changes collision readability.",Chapter 1 is feature-complete and navigable without debug tools; no critical progression or save bugs; remaining polish has bounded tasks.,Director + lead engineer + QA,Not started
