id,actor,name,category,source_requirement,loop,acceptance,status
ANM-001,CHR-IVO,IVO_idle_neutral,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-002,CHR-IVO,IVO_idle_attentive,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-003,CHR-IVO,IVO_walk_loop,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-004,CHR-IVO,IVO_run_loop,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-005,CHR-IVO,IVO_run_start,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-006,CHR-IVO,IVO_run_stop,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-007,CHR-IVO,IVO_turn_idle,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-008,CHR-IVO,IVO_turn_run,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-009,CHR-IVO,IVO_crouch_enter,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-010,CHR-IVO,IVO_crouch_idle,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,True,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-011,CHR-IVO,IVO_crouch_walk,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-012,CHR-IVO,IVO_crouch_exit,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-013,CHR-IVO,IVO_jump_stand_takeoff,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
ANM-014,CHR-IVO,IVO_jump_run_takeoff,Locomotion,Authored motion/pose with named contact events; approve from actual gameplay camera.,False,"Contact, silhouette and interruption reviewed; motor remains responsive; no unexplained input lock.",Backlog
