id,bus,scope,initial_variants,driver,first_use,priority_note,caption_required,status
FOL-STONE,Ivo feet,Dry stone step/run/land,12,"Surface, speed and foot event",C01,Critical near-body detail,False,Backlog
FOL-METAL,Ivo feet,Metal plate/grate/rail contact,12,Surface and load,C01,Route and material grounding,False,Backlog
FOL-WOOD,Ivo feet,Domestic timber/damp boards,8,Surface and speed,C01,Domestic identity,False,Backlog
FOL-WET,Ivo feet,Wet steps and droplets decaying after water,12,Wetness and depth,C02,Physical continuity,False,Backlog
FOL-CLOTH,Body,Jacket/grip/crouch cloth movement,12,Animation effort,C01,Quiet proximity,False,Backlog
FOL-HANDS,Body,"Porcelain, rail and tool hand contacts",10,Socket and pressure,C01,Connect body to action,False,Backlog
VOC-IVO,Body,Breath/rest/effort/fear/recover nonverbal set,18,Breath and activity,C01,No audio-only vital cue,False,Backlog
VOC-WATER,Body,Swim breath/warning/surface recovery,10,Breath reserve phase,C06,Fair submerged warning,False,Backlog
VOC-ANJA,People,"Effort, transport, root breathing and final exhale",8,Narrative phase,C01,Restrained intimacy,False,Backlog
VOC-CUST,People,"Effort, restrained breathing, capture reactions",10,AI/constraint phase,C01,"Human, not monster",False,Backlog
VOC-BEARER,People,Individual strained/free breaths and recovery,16,Load and roster variant,C03,Consciousness behind structure,False,Backlog
SIG-TAPS,Narrative,"Two taps on hand, rail and root contact",6,Authored contact,C01,Recognizable relationship,False,Backlog
SFX-BRACE,Hold,Acquire/release/deny/range warning,8,Ownership transaction,C01,No magical beam sound,True,Backlog
SFX-ANCHOR,Hold,Transfer vane and sustaining strain,6,Owner and load,C03,Useful action acquires cost,True,Backlog
SFX-SHUTTER,Machinery,Motor/stop/load/catch/impact layers,8,Authored phase and velocity,C01,Restart phase exact,False,Backlog
SFX-ROTATOR,Machinery,Rotation axle/stop/strain,6,Angle driver,C01,Orientation feedback,False,Backlog
SFX-SLUICE,Machinery,"Gate guide, lever and restrained water load",7,Gate and water state,C02,Local flow causality,False,Backlog
SFX-FLOAT,Machinery,Guide creak and lower/upper stop,4,Float height,C02,Readable level response,False,Backlog
SFX-RACK,Machinery,"Drying frame slide, hinge and catch",8,Frame q and collision,C03,Spatial puzzle feedback,False,Backlog
SFX-WET-RACK,Machinery,"Saturation drip, cable tension, draining",6,Wet mass and lift,C03,Weight change audible,False,Backlog
SFX-JACK,Machinery,"Crank, pawl and supported settling",6,Support transaction,C04,Relief confirmation,False,Backlog
SFX-CART,Machinery,"Brake, wheel roll, stop and guard obstruction",6,Cart driver,C04,One-Hold plan payoff,False,Backlog
SFX-TRAM,Machinery,Suspended tram strain and floor lean,6,Linked deck/load,C04,Human compensation context,False,Backlog
SFX-COUNTER,Machinery,"Cable travel, falling mass and cradle catch",10,Bounded trajectory,C05,Clear impending weight,False,Backlog
SFX-PAIRED,Machinery,"Contact, shift, brace, park and exit",8,Station mode and load,C05,Same vocabulary across scales,False,Backlog
