id,task,owner,dependencies,done_when,status,estimate_person_days
SP-01,Create source repository and binary locking,Engineering,[],Clean checkout with documented editor version and no copied proprietary assets,Backlog,
SP-02,Resolve engine/package matrix,Technical lead,"[""SP-01""]",Locked manifest builds and launches on second machine,Backlog,
SP-03,Define stable IDs and register importer contract,Engineering/design,"[""SP-01""]",Duplicate/missing-ID tests fail clearly,Backlog,
SP-04,Build metric floor/gap/slope gym,Level design,[],"2 m gap, steps and slopes visibly labeled in debug only",Backlog,
SP-05,Implement basic lane motor,Gameplay engineer,"[""SP-02"", ""SP-04""]",Run/turn/jump at 30/60/120 fps with recorded tuning,Backlog,
SP-06,Import temporary Ivo rig and locomotion,Animator,"[""SP-04""]",Scale/feet align to capsule without delaying valid jump,Backlog,
SP-07,Create input actions and toggle intent model,Gameplay/UI,"[""SP-02""]",Pause/focus/device canceled input is distinguishable from release,Backlog,
SP-08,Build slider and rotator runtime,Gameplay engineer,"[""SP-03""]",Fixed-step q/v driver captures and resumes bounded states,Backlog,
SP-09,Implement Hold ownership unit fixtures,Technical lead,"[""SP-07"", ""SP-08""]",No double owner or unowned transfer frame,Backlog,
SP-10,Build first shutter safe-observation room,Level design,"[""SP-05"", ""SP-08""]",Full motion can be observed before lethal crossing,Backlog,
SP-11,Block support/pawl relief room,Level design,"[""SP-04""]",Mechanical support visibly replaces a held load,Backlog,
SP-12,Capture licensed reference session,Director/animator,[],Observation sheet separates measured footage from assumptions,Backlog,
SP-13,Approve nonphotoreal material swatches,Art lead,"[""SP-04""]",Matte concrete/steel/cloth/porcelain read from gameplay camera,Backlog,
SP-14,Draft nine-area geographic elevation,Director/environment art,[],Garden/laundry/exchange/cut/water/root/hostel connections are physically coherent,Backlog,
SP-15,Block Ward silhouette and support route,Technical artist,"[""SP-04""]","Two chimneys/curtain, four shoes and clear receiving supports fit proposed envelope",Backlog,
SP-16,Prototype paired input on small carrier,Gameplay/technical art,"[""SP-08"", ""SP-15""]",Travel/posture/Hold mapping works without per-foot commands,Backlog,
SP-17,Define water/bell test geometry,Level design/engineering,"[""SP-04""]",Guided bell and tipping dock explain pocket survival/loss,Backlog,
SP-18,Create audio state and cue naming sheet,Audio lead,"[""SP-03""]",Foot/breath/load cues share authoritative tags; critical caption candidates marked,Backlog,
SP-19,Set automated build and test smoke,Engineering/QA,"[""SP-02""]",Clean packaged build and test report archived with commit ID,Backlog,
SP-20,Review risks and next sprint estimates,Producer/all leads,"[""SP-09"", ""SP-12"", ""SP-15"", ""SP-17"", ""SP-19""]","Owners, unresolved questions and evidence-based next tasks signed; no bulk asset order",Backlog,
