A1: THE HELD | ENVIRONMENT KITS
A2: Initial allocations, not completed inventory or fixed commissioned quantities. Revise after vertical-slice throughput validation.
A4: Family | B4: Allocation | C4: Unit | D4: Coverage | E4: Status
A5: Domestic front | B5: 24 | C5: Module slots ceiling | D5: Walls, floor edges, doors, windows, stair pieces, skirting, kitchen/bath fixtures. | E5: Not started
A6: Domestic reverse | B6: 18 | C6: Module slots ceiling | D6: Wall cavities, framing, access flaps, exposed anchor backs, wallpaper cutaways. | E6: Not started
A7: Service passages | B7: 24 | C7: Module slots ceiling | D7: Pipes, elbows, cable rails, grates, ladders, shutters, low crawl modules. | E7: Not started
A8: Laundry | B8: 24 | C8: Module slots ceiling | D8: Tile walls, drains, machine housings, rail frames, sheet suspension, steam vents. | E8: Not started
A9: Tenement exterior | B9: 20 | C9: Module slots ceiling | D9: Facades, balconies, braces, rain gutters, masonry damage, depth silhouettes. | E9: Not started
A10: Tram hall | B10: 24 | C10: Module slots ceiling | D10: Platforms, glazing, roof trusses, ticket/inspection booths, baggage lanes. | E10: Not started
A11: Burden galleries | B11: 18 | C11: Module slots ceiling | D11: Cradles, access cabinets, hand ports, structural bands, narrow service decks. | E11: Not started
A12: Hydraulic galleries | B12: 28 | C12: Module slots ceiling | D12: Seawall ribs, sluice frames, channels, counterweight bays, inspection windows. | E12: Not started
A13: Root and escape | B13: 20 | C13: Module slots ceiling | D13: Stone passages, station frames, settling beams, root terminals, exit tunnel. | E13: Not started
A14: Embankment | B14: 12 | C14: Module slots ceiling | D14: Track bed, rails, stones, fence remnants, distant town and sea silhouettes. | E14: Not started
A16: ALLOCATION TOTAL | B16: =SUM(B5:B14) [cached=212]
