A1: THE HELD | SOURCES
A2: Primary-source research. Original design values are proposals, not measured INSIDE parameters; inaccessible full videos were not watched.
A4: ID | B4: Publisher | C4: Title | D4: URL | E4: Use / limitation | F4: Checked
A5: R01 | B5: Playdead | C5: INSIDE official gallery | D5: https://playdead.com/games/inside/ | E5: Official screenshots and presentation identity; no hands-on timing claim | F5: 2026-09-07
A6: R02 | B6: Marek Bogdan / Playdead | C6: The Lighting of INSIDE | D6: https://blog.playdead.com/articles/the_lighting_of_inside/lighting_of_inside.html | E6: Firsthand authored-lighting explanation and embedded images inspected | F6: 2026-09-07
A7: R03 | B7: Playdead / GDC | C7: Huddle up! Making the [SPOILER] of INSIDE | D7: https://gdcvault.com/play/1024126/Huddle-up-Making-the-SPOILER | E7: Published session abstract: coupled physics, animation and shading; full session not viewed | F7: 2026-09-07
A8: R04 | B8: Martin Stig Andersen / GDC | C8: A Game That Listens — The Audio of INSIDE | D8: https://www.gdcvault.com/play/1023731/A-Game-That-Listens-The | E8: Published session abstract: audio/game feedback and death/respawn continuity | F8: 2026-09-07
A9: R05 | B9: Jeppe Carlsen / Playdead | C9: LIMBO publications and puzzle design presentations | D9: https://blog.playdead.com/articles/limbo_presentations/limbo_publications.html | E9: Published design abstract concerning challenge, accessibility and frustration | F9: 2026-09-07
A10: R06 | B10: Playdead | C10: INSIDE Presentations | D10: https://blog.playdead.com/articles/inside_presentations/inside_publications.html | E10: Catalogue descriptions including stutter-free asset loading, audio and rendering; no unavailable slide measurements | F10: 2026-09-07
A11: R07 | B11: Marek Bogdan / Playdead | C11: The Weight of Detail | D11: https://blog.playdead.com/articles/the_weight_of_detail/weight_of_detail.html | E11: Firsthand examples of subtle environmental detail and animated lighting | F11: 2026-09-07
A12: R08 | B12: Unity | C12: Unity 6 releases and support | D12: https://unity.com/releases/unity-6/support | E12: Current support window: Unity6.3LTS through December2027; baseline must be reviewed before a later ship date | F12: 2026-09-07
A13: R09 | B13: Unity | C13: Apply interpolation to a Rigidbody | D13: https://docs.unity3d.com/6000.3/Documentation/Manual/rigidbody-interpolation.html | E13: Physics/render timing reference; our 60Hz authoritative puzzle design is a proposal | F13: 2026-09-07
A14: R10 | B14: Unity | C14: Addressables — Loading scenes | D14: https://docs.unity3d.com/Packages/com.unity.addressables@3.0/manual/LoadingScenes.html | E14: Scene activation/queue constraint; package selection still requires compatibility test | F14: 2026-09-07
A15: R11 | B15: Unity | C15: Cinemachine — Procedural motion | D15: https://docs.unity3d.com/Packages/com.unity.cinemachine@3.1/manual/concept-procedural-motion.html | E15: Camera package behavior and authored procedural camera foundation | F15: 2026-09-07
A16: R12 | B16: FMOD | C16: FMOD for Unity — User guide | D16: https://www.fmod.com/docs/2.03/unity/user-guide.html | E16: Integration reference only; license/fees not assumed | F16: 2026-09-07
A17: R13 | B17: Unity | C17: URP anti-aliasing | D17: https://docs.unity3d.com/6000.3/Documentation/Manual/urp/anti-aliasing.html | E17: Stock render-pipeline anti-aliasing options; final choice must be measured | F17: 2026-09-07
A18: R14 | B18: Thomas Grip / Frictional Games | C18: 9 Years, 9 Lessons on Horror | D18: https://frictionalgames.com/2019-10-9-years-9-lessons-on-horror/ | E18: Firsthand discussion of anticipation, narrative and psychological horror | F18: 2026-09-07
A19: R15 | B19: Harvey Smith and Matthias Worch / GDC | C19: What Happened Here? Environmental Storytelling | D19: https://www.gdcvault.com/play/1012647/What-Happened-Here-Environmental | E19: Published environmental storytelling session; supports readable player interpretation | F19: 2026-09-07
