A1: THE HELD | ASSETS
A2: One row is a work package / family, not one finished file. First-use room cards define context; status is editable.
A4: ID | B4: Package | C4: Type | D4: Owner role | E4: First use | F4: Deliverable | G4: Gate | H4: Status
A5: ANIM-ANJA-REFUSAL | B5: Anja Refusal | C5: Animation | D5: Animator | E5: C05-S04 | F5: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G5: M11/M13 | H5: Not started
A6: ANIM-ANJA-TRANSFER | B6: Anja Transfer | C6: Animation | D6: Animator | E6: C01-S02 | F6: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G6: M11/M13 | H6: Not started
A7: ANIM-BEARER-RELIEF | B7: Bearer Relief | C7: Animation | D7: Animator | E7: C03-S04 | F7: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G7: M11/M13 | H7: Not started
A8: ANIM-BEARER-STAND | B8: Bearer Stand | C8: Animation | D8: Animator | E8: C05-S03 | F8: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G8: M11/M13 | H8: Not started
A9: ANIM-BEARER-STRAIN | B9: Bearer Strain | C9: Animation | D9: Animator | E9: C04-S06 | F9: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G9: M11/M13 | H9: Not started
A10: ANIM-CAPTURE | B10: Capture | C10: Animation | D10: Animator | E10: C01-S06 | F10: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G10: M11/M13 | H10: Not started
A11: ANIM-CRAWL | B11: Crawl | C11: Animation | D11: Animator | E11: C01-S05 | F11: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G11: M11/M13 | H11: Not started
A12: ANIM-CUSTODIAN-HEAVE | B12: Custodian Heave | C12: Animation | D12: Animator | E12: C04-S03 | F12: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G12: M11/M13 | H12: Not started
A13: ANIM-EYE-TRACK | B13: Eye Track | C13: Animation | D13: Animator | E13: C04-S02 | F13: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G13: M11/M13 | H13: Not started
A14: ANIM-FINAL-TAPS | B14: Final Taps | C14: Animation | D14: Animator | E14: C08-S02 | F14: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G14: M11/M13 | H14: Not started
A15: ANIM-FINGER-RESPONSE | B15: Finger Response | C15: Animation | D15: Animator | E15: C02-S06 | F15: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G15: M11/M13 | H15: Not started
A16: ANIM-HAND-RELAX | B16: Hand Relax | C16: Animation | D16: Animator | E16: C08-S03 | F16: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G16: M11/M13 | H16: Not started
A17: ANIM-HARNESS-TEST | B17: Harness Test | C17: Animation | D17: Animator | E17: C04-S01 | F17: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G17: M11/M13 | H17: Not started
A18: ANIM-HOLD-A | B18: Hold A | C18: Animation | D18: Animator | E18: C01-S03 | F18: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G18: M11/M13 | H18: Not started
A19: ANIM-IVO-CONNECT | B19: Ivo Connect | C19: Animation | D19: Animator | E19: C07-S01 | F19: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G19: M11/M13 | H19: Not started
A20: ANIM-IVO-STRAIN-2 | B20: Ivo Strain 2 | C20: Animation | D20: Animator | E20: C05-S05 | F20: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G20: M11/M13 | H20: Not started
A21: ANIM-IVO-STRAIN-3 | B21: Ivo Strain 3 | C21: Animation | D21: Animator | E21: C06-S05 | F21: Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration. | G21: M11/M13 | H21: Not started
