id,name,type,owner,first_use,uses,deliverable,gate,status,unit
ANIM-ANJA-REFUSAL,Anja Refusal,Animation,Animator,C05-S04,C05-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-ANJA-TRANSFER,Anja Transfer,Animation,Animator,C01-S02,C01-S02,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-BEARER-RELIEF,Bearer Relief,Animation,Animator,C03-S04,C03-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-BEARER-STAND,Bearer Stand,Animation,Animator,C05-S03,C05-S03,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-BEARER-STRAIN,Bearer Strain,Animation,Animator,C04-S06,C04-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-CAPTURE,Capture,Animation,Animator,C01-S06,C01-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-CRAWL,Crawl,Animation,Animator,C01-S05,C01-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-CUSTODIAN-HEAVE,Custodian Heave,Animation,Animator,C04-S03,C04-S03,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-EYE-TRACK,Eye Track,Animation,Animator,C04-S02,C04-S02,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-FINAL-TAPS,Final Taps,Animation,Animator,C08-S02,C08-S02,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-FINGER-RESPONSE,Finger Response,Animation,Animator,C02-S06,C02-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-HAND-RELAX,Hand Relax,Animation,Animator,C08-S03,C08-S03,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-HARNESS-TEST,Harness Test,Animation,Animator,C04-S01,C04-S01,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-HOLD-A,Hold A,Animation,Animator,C01-S03,C01-S03,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-IVO-CONNECT,Ivo Connect,Animation,Animator,C07-S01,C07-S01,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-IVO-STRAIN-2,Ivo Strain 2,Animation,Animator,C05-S05,C05-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-IVO-STRAIN-3,Ivo Strain 3,Animation,Animator,C06-S05,C06-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-IVO-WITHDRAW,Ivo Withdraw,Animation,Animator,C07-S05,C07-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-LADDER,Ladder,Animation,Animator,C02-S02,C02-S02,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-OPEN-HAND,Open Hand,Animation,Animator,C08-S06,C08-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-ORREN-GATE,Orren Gate,Animation,Animator,C08-S05,C08-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-PAIRED-WALK,Paired Walk,Animation,Animator,C08-S06,C08-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-PLATFORM-BALANCE,Platform Balance,Animation,Animator,C01-S04,C01-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-PORTER-CYCLE,Porter Cycle,Animation,Animator,C04-S04,C04-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-PUSH,Push,Animation,Animator,C02-S05,C02-S05,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-SLEEVE-SNAG,Sleeve Snag,Animation,Animator,C02-S06,C02-S06,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-SLIDE,Slide,Animation,Animator,C08-S04,C08-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-STATION-CONNECT,Station Connect,Animation,Animator,C06-S02,C06-S02,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-SURVIVOR-HELP,Survivor Help,Animation,Animator,C07-S04,C07-S04,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
ANIM-TAP,Tap,Animation,Animator,C01-S01,C01-S01,"Controller-compatible clip/pose package; contact markers, interruption policy and root-motion declaration.",M11/M13,Not started,Work package / family
AUD-ALARM,Alarm,Audio,Sound designer,C01-S02,C01-S02,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ANJA-FINAL,Anja Final,Audio,Sound designer,C08-S02,C08-S02,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-ANJA-MULTIPOINT,Anja Multipoint,Audio,Sound designer,C05-S04,C05-S04,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-BEARER-INHALE,Bearer Inhale,Audio,Sound designer,C02-S02,C02-S02,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-BRANCH-RELIEF,Branch Relief,Audio,Sound designer,C07-S03,C07-S03,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-BUILDING-BREATH,Building Breath,Audio,Sound designer,C06-S05,C06-S05,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-CALLBACKS,Callbacks,Audio,Sound designer,C05-S01,C05-S01,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
AUD-CHASE-A,Chase A,Audio,Sound designer,C01-S06,C01-S06,Licensed source session and exports; event/parameter definitions; restart and phase behavior.,M11/M13,Not started,Work package / family
