id,risk,likelihood,impact,owner,mitigation,review_gate,fallback,status
RK01,Hold looks like generic time freeze,High,High,Systems designer,Show motion continuing outside one process; make transferred burden visible by chapter3,M04,Cut particle spectacle before cutting bearer causality,Open
RK02,Animation quality exceeds staffing capacity,High,High,Animation lead,Prove locomotion/contact quality early; reuse skeleton and controlled paired interactions,M11,Reduce bespoke transition count and background cohort variety,Open
RK03,Physics makes saves or puzzles unstable,High,High,Lead engineer,Author q-based mechanism motion; preserve ownership and phase; separate cosmetic simulation,M03,Remove unnecessary free stacking and unconstrained rope puzzles,Open
RK04,Station feels like a different arbitrary game,Medium,High,Game director,Teach two-branch latch semantics in chapter6; prototype station in week6,M02/M12,"Reduce branch count, never defer first station test to alpha",Open
RK05,Meaning of final release is unclear,Medium,High,Narrative designer,"Repeat support removes burden; show low sea, intact evacuees and root interlock",M14,Simplify exposition path rather than add a lore speech,Open
RK06,Duration inflated by confusion,High,Medium,Level designer,Measure active chapter time and stuck spans; preserve 225-minute allocation through remix,M11/M14,"Cut duplicate connective puzzles, not shorten controller telegraphs",Open
RK07,Content production misses capacity,High,High,Producer,Measure hours per finished minute at slice; forecast remaining asset work with rework reserve,M11,Reduce visual variants and optional side pockets before story beats,Open
RK08,Technical version ages before ship,Medium,High,Lead engineer,Review engine/package support at slice and beta; rehearse upgrade in isolated branch,M11/M14,Choose supported compatible baseline; do not upgrade casually in release week,Open
RK09,Streaming causes visible stutter,Medium,High,Technical artist,Prototype chunking/pinning in first environment and profile packaged cold-cache route,M07,Reduce texture/prop diversity and prewarm predictable reveals,Open
RK10,Horror becomes repetitive or unfair,Medium,High,Game director,Limit sustained chases; combine known rules; track deaths without player hypothesis,M11/M14,Remove repeated capture sequence instead of adding stronger enemy,Open
RK11,Assets or branding lack clear rights,Medium,High,Producer,Record provenance/licensing and commission original identity; check working title before promotion,M00/M16,Replace uncertain material; do not ship borrowed reference assets,Open
RK12,Hardware target set by assumption,Medium,High,QA lead,Benchmark actual declared configurations at slice; publish requirements only after validation,M11/M15,Scale render quality without changing game timing or visibility,Open
RK13,Key-person bottleneck across eight-person team,Medium,High,Producer,"Document ownership, paired reviews and exporter/importer scripts; no single unbacked project copy",M00 onward,Defer optional features to protect controller/save coverage,Open
RK14,Root release caused by device interruption,Medium,High,Lead engineer,"Explicit armed/released input state, resume neutralization and disconnect pause",M02/M12,Block shipment until fixed; no design waiver,Open
